rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"The Great Train Robbery",1903,http://www.icheckmovies.com/movies/the+great+train+robbery/,10979,257,32,12,324,,http://www.imdb.com/title/tt0000439/,"2012-07-08 18:50:22",no,no,no,no
2,,"The Perils of Pauline",1914,http://www.icheckmovies.com/movies/the+perils+of+pauline/,261,4,3,2,53,,http://www.imdb.com/title/tt0004465/,no,no,no,no,no
3,,"Safety Last!",1923,http://www.icheckmovies.com/movies/safety+lastexclamation/,5147,549,27,16,409,,http://www.imdb.com/title/tt0014429/,"2010-01-30 15:23:27",no,no,no,no
4,,"The Thief of Bagdad",1924,http://www.icheckmovies.com/movies/the+thief+of+bagdad-1924/,2517,175,9,13,267,,http://www.imdb.com/title/tt0015400/,no,no,no,no,no
5,,"Captain Blood",1935,http://www.icheckmovies.com/movies/captain+blood/,2193,143,11,2,215,,http://www.imdb.com/title/tt0026174/,no,no,no,no,no
6,,"The Lives of a Bengal Lancer",1935,http://www.icheckmovies.com/movies/the+lives+of+a+bengal+lancer/,364,9,4,3,108,,http://www.imdb.com/title/tt0026643/,no,no,no,no,no
7,,"The Adventures of Robin Hood",1938,http://www.icheckmovies.com/movies/the+adventures+of+robin+hood/,14160,680,50,17,576,,http://www.imdb.com/title/tt0029843/,"2010-01-30 15:23:28",no,no,no,no
8,,"The Mark of Zorro",1940,http://www.icheckmovies.com/movies/the+mark+of+zorro/,3098,68,9,2,132,,http://www.imdb.com/title/tt0032762/,"2011-12-23 04:23:26",no,no,no,no
9,,"The Three Musketeers",1948,http://www.icheckmovies.com/movies/the+three+musketeers-1948/,527,12,6,1,98,,http://www.imdb.com/title/tt0040876/,no,no,no,no,no
10,,"Le salaire de la peur",1953,http://www.icheckmovies.com/movies/le+salaire+de+la+peur/,7452,1227,50,25,724,"The Wages of Fear",http://www.imdb.com/title/tt0046268/,"2010-01-30 15:23:27",no,no,no,no
11,,"North by Northwest",1959,http://www.icheckmovies.com/movies/north+by+northwest/,34783,3428,94,26,1065,,http://www.imdb.com/title/tt0053125/,"2010-01-30 15:23:27",no,no,no,no
12,,"From Russia with Love",1963,http://www.icheckmovies.com/movies/from+russia+with+love/,14094,449,46,4,303,,http://www.imdb.com/title/tt0057076/,"2011-12-31 17:59:46",no,no,no,no
13,,Goldfinger,1964,http://www.icheckmovies.com/movies/goldfinger/,34572,1146,92,15,533,,http://www.imdb.com/title/tt0058150/,"2010-01-30 15:23:27",no,no,no,no
14,,Thunderball,1965,http://www.icheckmovies.com/movies/thunderball/,12214,238,78,4,205,,http://www.imdb.com/title/tt0059800/,"2010-04-03 19:33:51",no,no,no,no
15,,"Da zui xia",1966,http://www.icheckmovies.com/movies/da+zui+xia/,1028,54,11,4,145,"Come Drink with Me",http://www.imdb.com/title/tt0059079/,"2014-11-28 13:38:02",no,no,no,no
16,,"Our Man Flint",1966,http://www.icheckmovies.com/movies/our+man+flint/,503,13,11,2,50,,http://www.imdb.com/title/tt0059557/,"2012-01-14 20:53:49",no,no,no,no
17,,"On Her Majesty's Secret Service",1969,http://www.icheckmovies.com/movies/on+her+majestys+secret+service/,9388,265,85,2,190,,http://www.imdb.com/title/tt0064757/,"2011-12-31 17:59:49",no,no,no,no
