rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"The Birth of a Nation",1915,http://www.icheckmovies.com/movies/the+birth+of+a+nation/,8838,182,305,21,486,,http://www.imdb.com/title/tt0004972/,"2011-02-26 22:24:29",no,no,no,no
2,,"The Battle of the Somme",1916,http://www.icheckmovies.com/movies/the+battle+of+the+somme/,280,4,1,5,64,"Kitchener's Great Army in the Battle of the Somme",http://www.imdb.com/title/tt0006405/,"2018-07-05 15:41:57",no,no,no,no
3,,"The Big Parade",1925,http://www.icheckmovies.com/movies/the+big+parade/,1889,187,13,12,327,,http://www.imdb.com/title/tt0015624/,no,no,no,no,no
4,,"The General",1926,http://www.icheckmovies.com/movies/the+general/,14000,1657,52,33,875,,http://www.imdb.com/title/tt0017925/,"2010-01-30 15:23:28",no,no,no,no
5,,"Napoléon vu par Abel Gance",1927,http://www.icheckmovies.com/movies/napoleon+vu+par+abel+gance/,2060,221,22,22,512,Napoleon,http://www.imdb.com/title/tt0018192/,no,no,no,no,no
6,,Wings,1927,http://www.icheckmovies.com/movies/wings/,2463,156,20,9,266,,http://www.imdb.com/title/tt0018578/,"2010-08-02 02:26:07",no,no,no,no
7,,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,13204,755,67,16,604,,http://www.imdb.com/title/tt0020629/,"2010-01-30 15:23:26",no,no,no,no
8,,"The Charge of the Light Brigade",1936,http://www.icheckmovies.com/movies/the+charge+of+the+light+brigade-1936-1/,414,15,3,2,103,,http://www.imdb.com/title/tt0027438/,no,no,no,no,no
9,,"La grande illusion",1937,http://www.icheckmovies.com/movies/la+grande+illusion/,7731,862,36,28,744,"The Grand Illusion",http://www.imdb.com/title/tt0028950/,"2011-02-27 14:05:49",no,no,no,no
10,,"The Great Dictator",1940,http://www.icheckmovies.com/movies/the+great+dictator/,26314,2395,99,24,779,,http://www.imdb.com/title/tt0032553/,"2010-01-30 15:23:28",no,no,no,no
11,,"Buck Privates",1941,http://www.icheckmovies.com/movies/buck+privates/,318,10,2,1,62,Rookies,http://www.imdb.com/title/tt0033436/,no,no,no,no,no
12,,"Sergeant York",1941,http://www.icheckmovies.com/movies/sergeant+york/,2756,122,22,7,258,,http://www.imdb.com/title/tt0034167/,"2011-07-23 12:35:48",no,no,no,no
13,,"49th Parallel",1941,http://www.icheckmovies.com/movies/49th+parallel/,1047,60,7,4,114,"The Invaders",http://www.imdb.com/title/tt0033627/,no,no,no,no,no
14,,"To Be or Not to Be",1942,http://www.icheckmovies.com/movies/to+be+or+not+to+be/,6006,871,20,23,635,,http://www.imdb.com/title/tt0035446/,"2015-05-14 03:02:06",no,no,no,no
15,,"Mrs. Miniver",1942,http://www.icheckmovies.com/movies/mrs.+miniver/,2575,153,26,9,285,,http://www.imdb.com/title/tt0035093/,"2010-01-30 15:23:27",no,no,no,no
16,,"In Which We Serve",1942,http://www.icheckmovies.com/movies/in+which+we+serve/,958,34,10,6,166,,http://www.imdb.com/title/tt0034891/,no,no,no,no,no
17,,"Went the Day Well?",1942,http://www.icheckmovies.com/movies/went+the+day+wellquestion/,598,39,5,5,145,,http://www.imdb.com/title/tt0035429/,no,no,no,no,no
18,,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,5867,534,38,23,602,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2011-01-20 01:46:36",no,no,no,no
19,,"A Matter of Life and Death",1946,http://www.icheckmovies.com/movies/a+matter+of+life+and+death/,4592,558,35,22,522,,http://www.imdb.com/title/tt0038733/,"2011-10-27 03:48:51",no,no,no,no
20,,"Sands of Iwo Jima",1949,http://www.icheckmovies.com/movies/sands+of+iwo+jima/,833,21,13,2,97,,http://www.imdb.com/title/tt0041841/,no,no,no,no,no
21,,"The Red Badge of Courage",1951,http://www.icheckmovies.com/movies/the+red+badge+of+courage/,798,23,4,3,104,,http://www.imdb.com/title/tt0043961/,no,no,no,no,no
22,,"The Cruel Sea",1953,http://www.icheckmovies.com/movies/the+cruel+sea/,417,25,3,3,95,,http://www.imdb.com/title/tt0045659/,no,no,no,no,no
23,,"Stalag 17",1953,http://www.icheckmovies.com/movies/stalag+17/,6588,568,41,6,365,,http://www.imdb.com/title/tt0046359/,"2010-01-30 15:23:28",no,no,no,no
24,,"From Here to Eternity",1953,http://www.icheckmovies.com/movies/from+here+to+eternity/,6365,322,39,13,466,,http://www.imdb.com/title/tt0045793/,"2010-01-30 15:23:27",no,no,no,no
25,,"The Dam Busters",1955,http://www.icheckmovies.com/movies/the+dam+busters/,985,32,6,2,99,,http://www.imdb.com/title/tt0046889/,"2010-01-30 15:23:28",no,no,no,no
26,,"Giv'a 24 Eina Ona",1955,http://www.icheckmovies.com/movies/giva+24+eina+ona/,274,1,7,3,69,"Hill 24 Doesn't Answer",http://www.imdb.com/title/tt0048121/,no,no,no,no,no
