title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
The Disaster Artist,2017,http://www.icheckmovies.com/movies/the+disaster+artist/,5077,322,0,163,,http://www.imdb.com/title/tt3521126/,7/4/2021 13:23,no,no,no,no
Capricorn One,1977,http://www.icheckmovies.com/movies/capricorn+one/,836,46,0,85,,http://www.imdb.com/title/tt0077294/,7/4/2021 1:54,no,no,no,no
Bill Hicks: Revelations,1993,http://www.icheckmovies.com/movies/bill+hicks+revelations/,298,28,0,20,,http://www.imdb.com/title/tt0152183/,7/3/2021 22:11,no,no,no,no
A Cold Night's Death,1973,http://www.icheckmovies.com/movies/a+cold+nights+death/,35,1,0,14,,http://www.imdb.com/title/tt0068390/,7/3/2021 1:08,no,no,no,no
The Survivors,1983,http://www.icheckmovies.com/movies/the+survivors/,177,3,0,21,,http://www.imdb.com/title/tt0086397/,7/2/2021 15:29,no,no,no,no
Twenty Bucks,1993,http://www.icheckmovies.com/movies/twenty+bucks/,155,2,0,18,,http://www.imdb.com/title/tt0108410/,6/28/2021 13:54,no,no,no,no
Dead Ahead: The Exxon Valdez Disaster,1992,http://www.icheckmovies.com/movies/dead+ahead+the+exxon+valdez+disaster/,3,0,0,1,,http://www.imdb.com/title/tt0104060/,6/27/2021 23:35,no,no,no,no
Erik the Viking,1989,http://www.icheckmovies.com/movies/erik+the+viking/,642,20,0,42,,http://www.imdb.com/title/tt0097289/,6/27/2021 16:26,no,no,no,no
The Devil at Your Heels,1981,http://www.icheckmovies.com/movies/the+devil+at+your+heels/,12,1,0,3,,http://www.imdb.com/title/tt0132082/,6/27/2021 1:49,no,no,no,no
Night of the Juggler,1980,http://www.icheckmovies.com/movies/night+of+the+juggler/,40,3,0,13,,http://www.imdb.com/title/tt0081230/,6/26/2021 18:57,no,no,no,no
The Horror of Party Beach,1964,http://www.icheckmovies.com/movies/the+horror+of+party+beach/,287,3,1,53,,http://www.imdb.com/title/tt0058208/,6/26/2021 17:18,no,no,no,no
The Wild Life,1984,http://www.icheckmovies.com/movies/the+wild+life/,97,1,0,12,,http://www.imdb.com/title/tt0088402/,6/25/2021 18:14,no,no,no,no
The Father,2020,http://www.icheckmovies.com/movies/the+father-2020/,1396,157,2,89,,http://www.imdb.com/title/tt10272386/,6/24/2021 15:54,no,no,no,no
Page Eight,2011,http://www.icheckmovies.com/movies/page+eight/,499,26,0,21,,http://www.imdb.com/title/tt1797469/,6/23/2021 17:41,no,no,no,no
Promising Young Woman,2020,http://www.icheckmovies.com/movies/promising+young+woman/,2194,211,2,114,,http://www.imdb.com/title/tt9620292/,6/23/2021 14:10,no,no,no,no
Heavenly Bodies,1984,http://www.icheckmovies.com/movies/heavenly+bodies/,52,1,0,9,,http://www.imdb.com/title/tt0087399/,6/22/2021 17:13,no,no,no,no
Fail Safe,2000,http://www.icheckmovies.com/movies/fail+safe/,199,13,0,20,,http://www.imdb.com/title/tt0235376/,6/22/2021 15:17,no,no,no,no
Bachelor Party,1984,http://www.icheckmovies.com/movies/bachelor+party/,1810,44,0,57,,http://www.imdb.com/title/tt0086927/,6/21/2021 20:07,no,no,no,no
Meatballs,1979,http://www.icheckmovies.com/movies/meatballs/,1361,35,2,69,Summer Camp,http://www.imdb.com/title/tt0079540/,6/21/2021 18:30,no,no,no,no
Carlin at Carnegie,1983,http://www.icheckmovies.com/movies/carlin+at+carnegie/,58,1,0,2,,http://www.imdb.com/title/tt0248827/,6/21/2021 14:21,no,no,no,no
The Grotesque,1995,http://www.icheckmovies.com/movies/the+grotesque/,21,0,0,8,Gentlemen Don't Eat Poets,http://www.imdb.com/title/tt0113224/,6/19/2021 20:35,no,no,no,no
The Shout,1978,http://www.icheckmovies.com/movies/the+shout/,478,30,3,128,,http://www.imdb.com/title/tt0078259/,6/19/2021 1:59,no,no,no,no
Sound of Metal,2019,http://www.icheckmovies.com/movies/sound+of+metal/,2142,208,3,113,,http://www.imdb.com/title/tt5363618/,6/18/2021 15:47,no,no,no,no
Agente Z 55 missione disperata,1965,http://www.icheckmovies.com/movies/agente+z+55+missione+disperata/,1,0,0,3,Desperate Mission,http://www.imdb.com/title/tt0060080/,6/17/2021 21:23,no,no,no,no
Things to Do in Denver When You're Dead,1995,http://www.icheckmovies.com/movies/things+to+do+in+denver+when+youre+dead/,1149,61,1,59,,http://www.imdb.com/title/tt0114660/,6/17/2021 14:20,no,no,no,no
Slither,1973,http://www.icheckmovies.com/movies/slither-1973-1/,68,1,0,24,,http://www.imdb.com/title/tt0069282/,6/16/2021 17:07,no,no,no,no
Porky's,1981,http://www.icheckmovies.com/movies/porkys/,3869,77,2,98,,http://www.imdb.com/title/tt0084522/,6/16/2021 3:58,no,no,no,no
The Next Karate Kid,1994,http://www.icheckmovies.com/movies/the+next+karate+kid/,2228,11,0,34,,http://www.imdb.com/title/tt0110657/,6/15/2021 22:01,no,no,no,no
The Karate Kid Part III,1989,http://www.icheckmovies.com/movies/the+karate+kid+part+iii/,3995,34,0,56,,http://www.imdb.com/title/tt0097647/,6/15/2021 14:20,no,no,no,no
The Karate Kid Part II,1986,http://www.icheckmovies.com/movies/the+karate+kid+part+ii/,6088,69,1,83,,http://www.imdb.com/title/tt0091326/,6/14/2021 21:42,no,no,no,no
The Journey,1959,http://www.icheckmovies.com/movies/the+journey/,105,7,1,39,,http://www.imdb.com/title/tt0052950/,6/14/2021 16:25,no,no,no,no
Stargate: The Ark of Truth,2008,http://www.icheckmovies.com/movies/stargate+the+ark+of+truth/,729,29,0,17,,http://www.imdb.com/title/tt0942903/,6/14/2021 2:30,no,no,no,no
Stargate: Continuum,2008,http://www.icheckmovies.com/movies/stargate+continuum/,741,37,0,20,,http://www.imdb.com/title/tt0929629/,6/14/2021 2:30,no,no,no,no
North Dallas Forty,1979,http://www.icheckmovies.com/movies/north+dallas+forty/,245,6,0,46,,http://www.imdb.com/title/tt0079640/,6/13/2021 20:24,no,no,no,no
Women in Trouble,2009,http://www.icheckmovies.com/movies/women+in+trouble/,297,9,0,14,,http://www.imdb.com/title/tt1247704/,6/12/2021 4:41,no,no,no,no
Arachnophobia,1990,http://www.icheckmovies.com/movies/arachnophobia/,5076,105,2,116,,http://www.imdb.com/title/tt0099052/,6/11/2021 15:53,no,no,no,no
