rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Baby Driver",2017,http://www.icheckmovies.com/movies/baby+driver/,13391,1144,112,4,329,,http://www.imdb.com/title/tt3890160/,"2017-07-12 23:55:34",no,no,no,no
2,,"The Driver",1978,http://www.icheckmovies.com/movies/the+driver/,1913,140,10,6,207,,http://www.imdb.com/title/tt0077474/,"2012-07-21 17:10:26",no,no,no,no
3,,"Straight Time",1978,http://www.icheckmovies.com/movies/straight+time/,669,65,3,2,142,,http://www.imdb.com/title/tt0078326/,no,no,no,no,no
4,,"Out of Sight",1998,http://www.icheckmovies.com/movies/out+of+sight/,6777,354,55,7,253,,http://www.imdb.com/title/tt0120780/,no,no,no,no,no
5,,Heat,1995,http://www.icheckmovies.com/movies/heat/,44123,3428,238,21,777,,http://www.imdb.com/title/tt0113277/,"2010-01-30 15:23:27",no,no,no,no
6,,"Thunderbolt and Lightfoot",1974,http://www.icheckmovies.com/movies/thunderbolt+and+lightfoot/,1317,56,13,3,141,,http://www.imdb.com/title/tt0072288/,"2012-01-14 20:54:08",no,no,no,no
7,,"Bottle Rocket",1996,http://www.icheckmovies.com/movies/bottle+rocket/,10877,601,88,3,217,,http://www.imdb.com/title/tt0115734/,"2012-08-22 01:59:55",no,no,no,no
8,,"Odds Against Tomorrow",1959,http://www.icheckmovies.com/movies/odds+against+tomorrow/,636,50,2,4,172,,http://www.imdb.com/title/tt0053133/,"2011-08-02 02:54:25",no,no,no,no
9,,"Point Break",1991,http://www.icheckmovies.com/movies/point+break/,13754,619,105,8,289,,http://www.imdb.com/title/tt0102685/,"2016-10-02 21:05:32",no,no,no,no
10,,"Charley Varrick",1973,http://www.icheckmovies.com/movies/charley+varrick/,1003,82,8,3,161,,http://www.imdb.com/title/tt0069865/,no,no,no,no,no
11,,"Dog Day Afternoon",1975,http://www.icheckmovies.com/movies/dog+day+afternoon/,26445,2463,74,21,752,,http://www.imdb.com/title/tt0072890/,"2010-01-30 15:23:27",no,no,no,no
12,,"Gun Crazy",1950,http://www.icheckmovies.com/movies/gun+crazy/,2870,287,17,16,385,,http://www.imdb.com/title/tt0042530/,"2011-02-05 00:44:58",no,no,no,no
13,,"Reservoir Dogs",1992,http://www.icheckmovies.com/movies/reservoir+dogs/,88614,9700,353,25,1230,,http://www.imdb.com/title/tt0105236/,"2010-01-30 15:23:27",no,no,no,no
14,,Thief,1981,http://www.icheckmovies.com/movies/thief/,2456,243,10,4,211,,http://www.imdb.com/title/tt0083190/,"2020-01-02 18:35:54",no,no,no,no
15,,Gambit,1966,http://www.icheckmovies.com/movies/gambit/,354,22,1,0,67,,http://www.imdb.com/title/tt0060445/,"2018-07-26 23:46:38",no,no,no,no
16,,Diabolik,1968,http://www.icheckmovies.com/movies/diabolik/,1276,90,13,3,112,"Danger: Diabolik",http://www.imdb.com/title/tt0062861/,no,no,no,no,no
17,,"The Hot Rock",1972,http://www.icheckmovies.com/movies/the+hot+rock/,384,21,3,1,65,"How to Steal a Diamond in Four Uneasy Lessons",http://www.imdb.com/title/tt0068718/,"2012-05-04 16:56:52",no,no,no,no
18,,"Dirty Mary Crazy Larry",1974,http://www.icheckmovies.com/movies/dirty+mary+crazy+larry/,862,42,14,2,71,,http://www.imdb.com/title/tt0071424/,"2019-05-24 15:07:22",no,no,no,no
19,,"Ocean's Eleven",2001,http://www.icheckmovies.com/movies/oceans+eleven/,83619,3957,320,6,482,,http://www.imdb.com/title/tt0240772/,"2012-03-25 21:36:54",no,no,no,no
20,,"The Ladykillers",1955,http://www.icheckmovies.com/movies/the+ladykillers/,6007,327,34,8,328,,http://www.imdb.com/title/tt0048281/,"2019-01-12 15:35:00",no,no,no,no
21,,"The Italian Job",1969,http://www.icheckmovies.com/movies/the+italian+job/,8222,304,48,4,182,,http://www.imdb.com/title/tt0064505/,"2010-01-30 15:23:28",no,no,no,no
22,,Victoria,2015,http://www.icheckmovies.com/movies/victoria-2015/,2740,427,28,3,258,,http://www.imdb.com/title/tt4226388/,"2018-12-08 00:49:03",no,no,no,no
23,,"The Getaway",1972,http://www.icheckmovies.com/movies/the+getaway/,2101,136,15,2,191,,http://www.imdb.com/title/tt0068638/,"2012-12-25 02:15:18",no,no,no,no
