rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,20619,2402,110,32,1077,Rashomon,http://www.imdb.com/title/tt0042876/,"2010-01-30 15:23:27",no,no,no,no
2,0,Jigokumon,1953,http://www.icheckmovies.com/movies/jigokumon/,1030,43,5,9,201,"Gate of Hell",http://www.imdb.com/title/tt0045935/,"2011-11-14 03:55:57",no,no,no,no
3,0,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,28747,4002,120,35,1304,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2010-01-30 15:23:27",no,no,no,no
4,0,"Miyamoto Musashi",1954,http://www.icheckmovies.com/movies/miyamoto+musashi/,1471,84,7,5,123,"Samurai I: Musashi Miyamoto",http://www.imdb.com/title/tt0047444/,"2010-01-30 15:23:27",no,no,no,no
5,0,"Zoku Miyamoto Musashi: Ichijôji no kettô",1955,http://www.icheckmovies.com/movies/zoku+miyamoto+musashi+ichijoji+no+ketto/,1067,64,5,3,95,"Samurai II: Duel at Ichijoji Temple",http://www.imdb.com/title/tt0048579/,"2010-01-30 15:23:28",no,no,no,no
6,0,"Miyamoto Musashi kanketsuhen: kettô Ganryûjima",1956,http://www.icheckmovies.com/movies/miyamoto+musashi+kanketsuhen+ketto+ganryujima/,1130,71,4,3,105,"Samurai III: Duel at Ganryu Island",http://www.imdb.com/title/tt0049710/,"2010-01-30 15:23:27",no,no,no,no
7,0,Kumonosu-jô,1957,http://www.icheckmovies.com/movies/kumonosu-jo/,6075,692,32,17,517,"Throne of Blood",http://www.imdb.com/title/tt0050613/,"2010-01-30 15:23:27",no,no,no,no
8,0,"Kakushi-toride no san-akunin",1958,http://www.icheckmovies.com/movies/kakushi-toride+no+san-akunin/,4330,442,17,8,361,"The Hidden Fortress",http://www.imdb.com/title/tt0051808/,"2010-01-30 15:23:27",no,no,no,no
9,0,Yôjinbô,1961,http://www.icheckmovies.com/movies/yojinbo/,13372,1588,56,18,647,Yojimbo,http://www.imdb.com/title/tt0055630/,"2010-01-30 15:23:28",no,no,no,no
10,0,"Tsubaki Sanjûrô",1962,http://www.icheckmovies.com/movies/tsubaki+sanjuro/,4574,539,12,7,308,Sanjuro,http://www.imdb.com/title/tt0056443/,"2010-01-30 15:23:28",no,no,no,no
