rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Sunset Blvd.",1950,http://www.icheckmovies.com/movies/sunset+blvd./,25879,3667,100,33,1222,"Sunset Boulevard",http://www.imdb.com/title/tt0043014/,"2010-01-30 15:23:28",no,no,no,no
2,0,"Double Indemnity",1944,http://www.icheckmovies.com/movies/double+indemnity/,19913,2408,60,34,1001,,http://www.imdb.com/title/tt0036775/,"2010-01-30 15:23:27",no,no,no,no
3,0,"I Am a Fugitive from a Chain Gang",1932,http://www.icheckmovies.com/movies/i+am+a+fugitive+from+a+chain+gang/,2951,355,9,13,415,,http://www.imdb.com/title/tt0023042/,"2013-11-16 20:15:05",no,no,no,no
4,0,"The Third Man",1949,http://www.icheckmovies.com/movies/the+third+man/,20973,2590,95,33,1136,,http://www.imdb.com/title/tt0041959/,"2010-01-30 15:23:28",no,no,no,no
5,0,"Ace in the Hole",1951,http://www.icheckmovies.com/movies/ace+in+the+hole/,6269,845,24,18,521,,http://www.imdb.com/title/tt0043338/,"2010-01-30 15:23:26",no,no,no,no
6,0,"White Heat",1949,http://www.icheckmovies.com/movies/white+heat/,5606,568,15,15,543,,http://www.imdb.com/title/tt0042041/,"2011-01-16 23:57:18",no,no,no,no
7,0,"The Night of the Hunter",1955,http://www.icheckmovies.com/movies/the+night+of+the+hunter/,14059,1893,124,30,987,,http://www.imdb.com/title/tt0048424/,"2010-01-30 15:23:28",no,no,no,no
8,0,"Strangers on a Train",1951,http://www.icheckmovies.com/movies/strangers+on+a+train/,19468,1641,49,15,690,,http://www.imdb.com/title/tt0044079/,"2010-01-30 15:23:28",no,no,no,no
9,0,"The Maltese Falcon",1941,http://www.icheckmovies.com/movies/the+maltese+falcon/,23471,1842,117,24,925,,http://www.imdb.com/title/tt0033870/,"2010-01-30 15:23:28",no,no,no,no
10,0,Laura,1944,http://www.icheckmovies.com/movies/laura/,7737,750,35,19,602,,http://www.imdb.com/title/tt0037008/,"2010-01-30 15:23:27",no,no,no,no
11,0,Notorious,1946,http://www.icheckmovies.com/movies/notorious/,15063,1363,74,22,686,,http://www.imdb.com/title/tt0038787/,"2010-01-30 15:23:27",no,no,no,no
12,0,"The Killing",1956,http://www.icheckmovies.com/movies/the+killing/,11849,1174,30,14,545,,http://www.imdb.com/title/tt0049406/,"2010-01-30 15:23:28",no,no,no,no
13,0,"Touch of Evil",1958,http://www.icheckmovies.com/movies/touch+of+evil/,14598,1531,81,27,900,,http://www.imdb.com/title/tt0052311/,"2010-01-30 15:23:28",no,no,no,no
14,0,"In a Lonely Place",1950,http://www.icheckmovies.com/movies/in+a+lonely+place/,4960,684,19,17,493,,http://www.imdb.com/title/tt0042593/,"2011-01-15 15:53:28",no,no,no,no
15,0,"Out of the Past",1947,http://www.icheckmovies.com/movies/out+of+the+past/,5498,654,20,15,576,,http://www.imdb.com/title/tt0039689/,"2010-01-30 15:23:27",no,no,no,no
16,0,"Mildred Pierce",1945,http://www.icheckmovies.com/movies/mildred+pierce/,5034,421,21,15,480,,http://www.imdb.com/title/tt0037913/,"2011-05-27 21:38:59",no,no,no,no
17,0,"Sweet Smell of Success",1957,http://www.icheckmovies.com/movies/sweet+smell+of+success/,5967,777,34,19,584,,http://www.imdb.com/title/tt0051036/,"2010-01-30 15:23:28",no,no,no,no
18,0,"The Big Heat",1953,http://www.icheckmovies.com/movies/the+big+heat/,5474,481,21,17,434,,http://www.imdb.com/title/tt0045555/,"2011-10-08 03:27:57",no,no,no,no
19,0,"The Big Sleep",1946,http://www.icheckmovies.com/movies/the+big+sleep/,13644,1110,91,20,688,,http://www.imdb.com/title/tt0038355/,"2010-12-30 22:56:21",no,no,no,no
20,0,"The Roaring Twenties",1939,http://www.icheckmovies.com/movies/the+roaring+twenties/,1883,170,7,6,246,,http://www.imdb.com/title/tt0031867/,"2013-11-17 18:04:15",no,no,no,no
21,0,"The Asphalt Jungle",1950,http://www.icheckmovies.com/movies/the+asphalt+jungle/,5084,366,24,15,433,,http://www.imdb.com/title/tt0042208/,"2011-04-10 03:35:36",no,no,no,no
22,0,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,5896,532,36,16,477,,http://www.imdb.com/title/tt0037884/,"2010-01-30 15:23:28",no,no,no,no
23,0,"Angels with Dirty Faces",1938,http://www.icheckmovies.com/movies/angels+with+dirty+faces/,3968,282,23,8,296,,http://www.imdb.com/title/tt0029870/,"2011-02-09 04:22:37",no,no,no,no
24,0,"Night and the City",1950,http://www.icheckmovies.com/movies/night+and+the+city/,2777,287,15,10,312,,http://www.imdb.com/title/tt0042788/,"2010-11-24 02:27:25",no,no,no,no
25,0,"The Set-Up",1949,http://www.icheckmovies.com/movies/the+set-up/,1780,171,9,8,250,,http://www.imdb.com/title/tt0041859/,"2011-02-05 02:26:34",no,no,no,no
26,0,Fury,1936,http://www.icheckmovies.com/movies/fury/,2306,237,9,10,294,,http://www.imdb.com/title/tt0027652/,"2011-12-24 03:45:10",no,no,no,no
27,0,"Key Largo",1948,http://www.icheckmovies.com/movies/key+largo/,4871,296,17,7,289,,http://www.imdb.com/title/tt0040506/,"2011-10-07 22:04:27",no,no,no,no
28,0,"Shadow of a Doubt",1943,http://www.icheckmovies.com/movies/shadow+of+a+doubt/,9922,841,37,12,562,,http://www.imdb.com/title/tt0036342/,"2010-01-30 15:23:27",no,no,no,no
29,0,"Scarface: The Shame of the Nation",1932,http://www.icheckmovies.com/movies/scarface+the+shame+of+the+nation/,9121,451,41,16,444,Scarface,http://www.imdb.com/title/tt0023427/,"2010-12-21 22:08:03",no,no,no,no
30,0,"To Have and Have Not",1944,http://www.icheckmovies.com/movies/to+have+and+have+not/,5299,388,28,14,370,,http://www.imdb.com/title/tt0037382/,"2010-05-03 12:44:53",no,no,no,no
