rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,87760,8010,270,32,1318,,http://www.imdb.com/title/tt0108052/,"2010-01-30 15:23:27",no,no,no,no
2,0,"Ningen no jôken",1959,http://www.icheckmovies.com/movies/ningen+no+joken/,1747,359,14,11,382,"The Human Condition I: No Greater Love",http://www.imdb.com/title/tt0053114/,"2011-12-11 04:43:10",no,no,no,no
3,0,Hamilton,2020,http://www.icheckmovies.com/movies/hamilton-2020/,1972,187,14,5,56,,http://www.imdb.com/title/tt8503618/,"2021-03-09 20:36:20",no,no,no,no
4,0,Braveheart,1995,http://www.icheckmovies.com/movies/braveheart/,84995,4581,655,20,742,,http://www.imdb.com/title/tt0112573/,"2010-01-30 15:23:26",no,no,no,no
5,0,Amadeus,1984,http://www.icheckmovies.com/movies/amadeus/,47006,4197,189,22,827,,http://www.imdb.com/title/tt0086879/,"2010-01-30 15:23:26",no,no,no,no
6,0,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,30365,2844,206,38,1160,,http://www.imdb.com/title/tt0056172/,"2010-01-30 15:23:27",no,no,no,no
7,0,Z,1969,http://www.icheckmovies.com/movies/z/,4493,593,34,17,469,,http://www.imdb.com/title/tt0065234/,no,no,no,no,no
8,0,"Der Untergang",2004,http://www.icheckmovies.com/movies/der+untergang/,32175,2222,109,15,584,Downfall,http://www.imdb.com/title/tt0363163/,"2010-01-30 15:23:27",no,no,no,no
9,0,"The Great Escape",1963,http://www.icheckmovies.com/movies/the+great+escape/,29295,1922,76,15,644,,http://www.imdb.com/title/tt0057115/,"2010-01-30 15:23:28",no,no,no,no
10,0,"Det sjunde inseglet",1957,http://www.icheckmovies.com/movies/det+sjunde+inseglet/,19146,2394,156,26,949,"The Seventh Seal",http://www.imdb.com/title/tt0050976/,"2010-01-30 15:23:27",no,no,no,no
11,0,"The Message",1976,http://www.icheckmovies.com/movies/the+message/,2022,130,55,7,130,"Mohammad: Messenger of God",http://www.imdb.com/title/tt0074896/,"2017-02-26 19:34:28",no,no,no,no
12,0,"Napoléon vu par Abel Gance",1927,http://www.icheckmovies.com/movies/napoleon+vu+par+abel+gance/,2060,221,22,22,512,Napoleon,http://www.imdb.com/title/tt0018192/,no,no,no,no,no
13,0,"Soy Cuba",1964,http://www.icheckmovies.com/movies/soy+cuba/,2166,377,13,15,379,"I Am Cuba",http://www.imdb.com/title/tt0058604/,no,no,no,no,no
14,0,"12 Years a Slave",2013,http://www.icheckmovies.com/movies/12+years+a+slave/,29329,2026,151,19,759,,http://www.imdb.com/title/tt2024544/,"2014-01-19 02:23:45",no,no,no,no
15,0,"Hacksaw Ridge",2016,http://www.icheckmovies.com/movies/hacksaw+ridge/,9647,656,141,7,292,,http://www.imdb.com/title/tt2119532/,"2017-04-08 00:29:43",no,no,no,no
16,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,42523,2801,416,30,1017,,http://www.imdb.com/title/tt0031381/,"2010-01-30 15:23:27",no,no,no,no
17,0,"Barry Lyndon",1975,http://www.icheckmovies.com/movies/barry+lyndon/,17303,2104,138,23,841,,http://www.imdb.com/title/tt0072684/,"2010-01-30 15:23:26",no,no,no,no
18,0,"Hotel Rwanda",2004,http://www.icheckmovies.com/movies/hotel+rwanda/,44460,2278,138,11,407,,http://www.imdb.com/title/tt0395169/,"2010-01-30 15:23:27",no,no,no,no
19,0,Ben-Hur,1959,http://www.icheckmovies.com/movies/ben-hur/,30991,1281,181,24,728,,http://www.imdb.com/title/tt0052618/,"2010-01-30 15:23:26",no,no,no,no
20,0,"The Grapes of Wrath",1940,http://www.icheckmovies.com/movies/the+grapes+of+wrath/,15163,971,106,22,715,,http://www.imdb.com/title/tt0032551/,"2010-01-30 15:23:28",no,no,no,no
21,0,"Andrey Rublev",1966,http://www.icheckmovies.com/movies/andrey+rublev/,6487,952,90,29,731,"Andrei Rublev",http://www.imdb.com/title/tt0060107/,"2010-06-13 01:44:51",no,no,no,no
22,0,Kumonosu-jô,1957,http://www.icheckmovies.com/movies/kumonosu-jo/,6075,692,32,17,517,"Throne of Blood",http://www.imdb.com/title/tt0050613/,"2010-01-30 15:23:27",no,no,no,no
23,0,"Inherit the Wind",1960,http://www.icheckmovies.com/movies/inherit+the+wind/,3966,350,34,4,257,,http://www.imdb.com/title/tt0053946/,"2010-01-30 15:23:27",no,no,no,no
24,0,"Tasogare Seibei",2002,http://www.icheckmovies.com/movies/tasogare+seibei/,1980,318,11,8,243,"The Twilight Samurai",http://www.imdb.com/title/tt0351817/,"2010-05-10 03:38:35",no,no,no,no
25,0,"La passion de Jeanne d'Arc",1928,http://www.icheckmovies.com/movies/la+passion+de+jeanne+darc/,10428,1360,89,26,876,"The Passion of Joan of Arc",http://www.imdb.com/title/tt0019254/,"2010-07-10 17:54:59",no,no,no,no
26,0,"Da hong deng long gao gao gua",1991,http://www.icheckmovies.com/movies/da+hong+deng+long+gao+gao+gua/,4469,631,22,20,523,"Raise the Red Lantern",http://www.imdb.com/title/tt0101640/,"2018-11-15 19:07:57",no,no,no,no
27,0,"Vredens dag",1943,http://www.icheckmovies.com/movies/vredens+dag/,2163,279,16,13,409,"Day of Wrath",http://www.imdb.com/title/tt0036506/,no,no,no,no,no
28,0,"The Revenant",2015,http://www.icheckmovies.com/movies/the+revenant-2015/,20386,1665,174,11,561,,http://www.imdb.com/title/tt1663202/,"2016-01-28 03:49:06",no,no,no,no
29,0,"The King's Speech",2010,http://www.icheckmovies.com/movies/the+kings+speech/,64706,4723,323,12,656,,http://www.imdb.com/title/tt1504320/,"2011-11-30 23:03:40",no,no,no,no
30,0,JFK,1991,http://www.icheckmovies.com/movies/jfk/,19554,939,112,12,508,,http://www.imdb.com/title/tt0102138/,"2010-01-30 15:23:27",no,no,no,no
31,0,"Cinderella Man",2005,http://www.icheckmovies.com/movies/cinderella+man/,17683,741,81,3,204,,http://www.imdb.com/title/tt0352248/,"2010-01-30 15:23:27",no,no,no,no
32,0,"Yip Man",2008,http://www.icheckmovies.com/movies/yip+man/,14925,1241,77,4,293,"Ip Man",http://www.imdb.com/title/tt1220719/,"2011-12-10 00:39:24",no,no,no,no
33,0,Gandhi,1982,http://www.icheckmovies.com/movies/gandhi/,29189,1243,112,15,546,,http://www.imdb.com/title/tt0083987/,"2010-01-30 15:23:27",no,no,no,no
34,0,"All the President's Men",1976,http://www.icheckmovies.com/movies/all+the+presidents+men/,16769,1183,64,20,647,,http://www.imdb.com/title/tt0074119/,"2010-01-30 15:23:26",no,no,no,no
35,0,"Il gattopardo",1963,http://www.icheckmovies.com/movies/il+gattopardo/,4604,477,47,17,535,"The Leopard",http://www.imdb.com/title/tt0057091/,"2012-04-24 02:54:23",no,no,no,no
36,0,Kagemusha,1980,http://www.icheckmovies.com/movies/kagemusha/,4323,418,17,12,375,,http://www.imdb.com/title/tt0080979/,"2010-01-30 15:23:27",no,no,no,no
37,0,Persepolis,2007,http://www.icheckmovies.com/movies/persepolis/,18114,1853,68,6,471,,http://www.imdb.com/title/tt0808417/,no,no,no,no,no
38,0,"Bronenosets Potemkin",1925,http://www.icheckmovies.com/movies/bronenosets+potemkin/,13165,866,81,27,829,"Battleship Potemkin",http://www.imdb.com/title/tt0015648/,"2010-01-30 15:23:26",no,no,no,no
39,0,Spartacus,1960,http://www.icheckmovies.com/movies/spartacus/,21675,880,77,19,593,,http://www.imdb.com/title/tt0054331/,"2010-01-30 15:23:27",no,no,no,no
40,0,"Ying xiong",2002,http://www.icheckmovies.com/movies/ying+xiong/,12702,1183,94,9,447,Hero,http://www.imdb.com/title/tt0299977/,"2010-01-30 15:23:28",no,no,no,no
41,0,"Letters from Iwo Jima",2006,http://www.icheckmovies.com/movies/letters+from+iwo+jima/,20226,1007,101,6,370,,http://www.imdb.com/title/tt0498380/,"2010-01-30 15:23:27",no,no,no,no
42,0,"The Lion in Winter",1968,http://www.icheckmovies.com/movies/the+lion+in+winter/,3536,325,30,4,285,,http://www.imdb.com/title/tt0063227/,"2018-05-29 14:10:15",no,no,no,no
43,0,"Aguirre, der Zorn Gottes",1972,http://www.icheckmovies.com/movies/aguirre+der+zorn+gottes/,10003,1395,85,17,747,"Aguirre, the Wrath of God",http://www.imdb.com/title/tt0068182/,"2010-01-30 15:23:26",no,no,no,no
44,0,"In Cold Blood",1967,http://www.icheckmovies.com/movies/in+cold+blood/,3945,299,26,7,319,,http://www.imdb.com/title/tt0061809/,"2010-01-30 15:23:27",no,no,no,no
45,0,"A Night to Remember",1958,http://www.icheckmovies.com/movies/a+night+to+remember/,2379,133,8,3,144,,http://www.imdb.com/title/tt0051994/,"2018-12-27 21:02:53",no,no,no,no
46,0,"'Breaker' Morant",1980,http://www.icheckmovies.com/movies/breaker+morant/,1526,107,7,5,186,"Breaker Morant",http://www.imdb.com/title/tt0080310/,no,no,no,no,no
47,0,"Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor",1958,http://www.icheckmovies.com/movies/ivan+groznyy.+skaz+vtoroy+boyarskiy+zagovor/,2018,147,26,14,264,"Ivan the Terrible, Part II",http://www.imdb.com/title/tt0051790/,no,no,no,no,no
48,0,"Hidden Figures",2016,http://www.icheckmovies.com/movies/hidden+figures/,6822,486,35,4,201,,http://www.imdb.com/title/tt4846340/,"2017-02-22 13:56:44",no,no,no,no
49,0,Tombstone,1993,http://www.icheckmovies.com/movies/tombstone/,10907,710,55,2,226,,http://www.imdb.com/title/tt0108358/,"2011-12-20 03:53:51",no,no,no,no
50,0,Dunkirk,2017,http://www.icheckmovies.com/movies/dunkirk-2017/,14041,1072,126,8,419,,http://www.imdb.com/title/tt5013056/,"2017-08-02 18:31:01",no,no,no,no
