rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,110217,16756,393,21,1321,,http://www.imdb.com/title/tt0111161/,"2010-01-30 15:23:28",no,no,no,no
2,0,"The Godfather",1972,http://www.icheckmovies.com/movies/the+godfather/,95613,12926,428,39,1798,,http://www.imdb.com/title/tt0068646/,"2010-01-30 15:23:28",no,no,no,no
3,0,"The Godfather: Part II",1974,http://www.icheckmovies.com/movies/the+godfather+part+ii/,72402,8055,262,30,1357,,http://www.imdb.com/title/tt0071562/,"2010-01-30 15:23:28",no,no,no,no
4,0,"The Dark Knight",2008,http://www.icheckmovies.com/movies/the+dark+knight/,140148,17040,788,25,1553,,http://www.imdb.com/title/tt0468569/,"2010-01-30 15:23:28",no,no,no,no
5,0,"12 Angry Men",1957,http://www.icheckmovies.com/movies/12+angry+men/,53410,8190,117,29,1248,,http://www.imdb.com/title/tt0050083/,"2010-01-30 15:23:26",no,no,no,no
6,0,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,87760,8010,270,32,1318,,http://www.imdb.com/title/tt0108052/,"2010-01-30 15:23:27",no,no,no,no
7,0,"The Lord of the Rings: The Return of the King",2003,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+return+of+the+king/,128640,12755,729,26,1532,,http://www.imdb.com/title/tt0167260/,"2010-01-30 15:23:28",no,no,no,no
8,0,"Pulp Fiction",1994,http://www.icheckmovies.com/movies/pulp+fiction/,123705,19822,624,37,1917,,http://www.imdb.com/title/tt0110912/,"2010-01-30 15:23:27",no,no,no,no
9,0,"Il buono, il brutto, il cattivo",1966,http://www.icheckmovies.com/movies/il+buono+il+brutto+il+cattivo/,48020,6865,157,26,1249,"The Good, the Bad and the Ugly",http://www.imdb.com/title/tt0060196/,"2010-01-30 15:23:27",no,no,no,no
10,0,"The Lord of the Rings: The Fellowship of the Ring",2001,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+fellowship+of+the+ring/,134200,12679,750,27,1587,,http://www.imdb.com/title/tt0120737/,"2010-01-30 15:23:28",no,no,no,no
11,0,"Fight Club",1999,http://www.icheckmovies.com/movies/fight+club/,128450,20904,605,17,1493,,http://www.imdb.com/title/tt0137523/,"2010-01-30 15:23:27",no,no,no,no
12,0,"Forrest Gump",1994,http://www.icheckmovies.com/movies/forrest+gump/,139420,12383,822,24,1166,,http://www.imdb.com/title/tt0109830/,"2010-01-30 15:23:27",no,no,no,no
13,0,Inception,2010,http://www.icheckmovies.com/movies/inception/,130520,16396,926,19,1432,,http://www.imdb.com/title/tt1375666/,"2010-08-15 04:39:21",no,no,no,no
14,0,"The Lord of the Rings: The Two Towers",2002,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+two+towers/,128428,10871,608,24,1353,,http://www.imdb.com/title/tt0167261/,"2010-01-30 15:23:28",no,no,no,no
15,0,"Star Wars: Episode V - The Empire Strikes Back",1980,http://www.icheckmovies.com/movies/star+wars+episode+v+-+the+empire+strikes+back/,111141,9876,449,23,1353,,http://www.imdb.com/title/tt0080684/,"2010-01-30 15:23:28",no,no,no,no
16,0,"The Matrix",1999,http://www.icheckmovies.com/movies/the+matrix/,133443,12807,742,28,1421,,http://www.imdb.com/title/tt0133093/,"2010-01-30 15:23:28",no,no,no,no
17,0,Goodfellas,1990,http://www.icheckmovies.com/movies/goodfellas/,74028,8242,206,30,1395,,http://www.imdb.com/title/tt0099685/,"2010-01-30 15:23:27",no,no,no,no
