rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Il buono, il brutto, il cattivo",1966,http://www.icheckmovies.com/movies/il+buono+il+brutto+il+cattivo/,48020,6865,157,26,1249,"The Good, the Bad and the Ugly",http://www.imdb.com/title/tt0060196/,"2010-01-30 15:23:27",no,no,no,no
2,0,"O Auto da Compadecida",2000,http://www.icheckmovies.com/movies/o+auto+da+compadecida-2000/,551,57,7,1,46,"A Dog's Will",http://www.imdb.com/title/tt0271383/,no,no,no,no,no
3,0,"C'era una volta il West",1968,http://www.icheckmovies.com/movies/cera+una+volta+il+west/,27177,3478,112,26,1092,"Once Upon a Time in the West",http://www.imdb.com/title/tt0064116/,"2010-01-30 15:23:27",no,no,no,no
4,0,"Django Unchained",2012,http://www.icheckmovies.com/movies/django+unchained/,61559,6433,263,10,1033,,http://www.imdb.com/title/tt1853728/,"2013-04-20 22:07:23",no,no,no,no
5,0,Unforgiven,1992,http://www.icheckmovies.com/movies/unforgiven/,34277,2751,162,22,917,,http://www.imdb.com/title/tt0105695/,"2010-01-30 15:23:28",no,no,no,no
6,0,"Per qualche dollaro in più",1965,http://www.icheckmovies.com/movies/per+qualche+dollaro+in+piu/,20879,1823,47,9,553,"For a Few Dollars More",http://www.imdb.com/title/tt0059578/,"2010-01-30 15:23:27",no,no,no,no
7,0,"The Treasure of the Sierra Madre",1948,http://www.icheckmovies.com/movies/the+treasure+of+the+sierra+madre/,14564,1550,65,24,799,,http://www.imdb.com/title/tt0040897/,"2010-01-30 15:23:28",no,no,no,no
8,0,"The Gold Rush",1925,http://www.icheckmovies.com/movies/the+gold+rush/,16030,1232,79,29,765,,http://www.imdb.com/title/tt0015864/,"2010-01-30 15:23:28",no,no,no,no
9,0,Sholay,1975,http://www.icheckmovies.com/movies/sholay/,2253,170,70,14,209,Embers,http://www.imdb.com/title/tt0073707/,no,no,no,no,no
10,0,"The Man Who Shot Liberty Valance",1962,http://www.icheckmovies.com/movies/the+man+who+shot+liberty+valance/,10145,948,40,15,604,,http://www.imdb.com/title/tt0056217/,"2010-01-30 15:23:28",no,no,no,no
11,0,Greed,1924,http://www.icheckmovies.com/movies/greed/,2686,266,30,20,468,,http://www.imdb.com/title/tt0015881/,no,no,no,no,no
12,0,"The Wind",1928,http://www.icheckmovies.com/movies/the+wind/,1821,232,10,13,358,,http://www.imdb.com/title/tt0019585/,"2011-12-20 20:06:08",no,no,no,no
13,0,"The Revenant",2015,http://www.icheckmovies.com/movies/the+revenant-2015/,20386,1665,174,11,561,,http://www.imdb.com/title/tt1663202/,"2016-01-28 03:49:06",no,no,no,no
14,0,"Dances with Wolves",1990,http://www.icheckmovies.com/movies/dances+with+wolves/,37679,1652,287,16,602,,http://www.imdb.com/title/tt0099348/,"2011-01-14 20:57:27",no,no,no,no
15,0,"Butch Cassidy and the Sundance Kid",1969,http://www.icheckmovies.com/movies/butch+cassidy+and+the+sundance+kid/,29505,2360,124,21,814,,http://www.imdb.com/title/tt0064115/,"2010-01-30 15:23:27",no,no,no,no
16,0,"Per un pugno di dollari",1964,http://www.icheckmovies.com/movies/per+un+pugno+di+dollari/,17748,1334,50,10,534,"A Fistful of Dollars",http://www.imdb.com/title/tt0058461/,"2010-01-30 15:23:27",no,no,no,no
17,0,"Rio Bravo",1959,http://www.icheckmovies.com/movies/rio+bravo/,8993,840,43,18,618,,http://www.imdb.com/title/tt0053221/,"2011-12-31 17:52:25",no,no,no,no
