rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,13,"All About Eve",1950,http://www.icheckmovies.com/movies/all+about+eve/,16796,1968,63,24,931,,http://www.imdb.com/title/tt0042192/,"2010-01-30 15:23:26",no,no,no,no
2,48,"Black Narcissus",1947,http://www.icheckmovies.com/movies/black+narcissus/,5548,543,46,13,500,,http://www.imdb.com/title/tt0039192/,no,no,no,no,no
3,50,"Blackboard Jungle",1955,http://www.icheckmovies.com/movies/blackboard+jungle/,1314,54,8,4,151,,http://www.imdb.com/title/tt0047885/,no,no,no,no,no
4,153,"Easy Rider",1969,http://www.icheckmovies.com/movies/easy+rider/,18410,1084,193,18,599,,http://www.imdb.com/title/tt0064276/,"2010-09-26 04:21:02",no,no,no,no
5,206,"Harold and Maude",1971,http://www.icheckmovies.com/movies/harold+and+maude/,15215,2056,142,18,595,,http://www.imdb.com/title/tt0067185/,"2010-01-30 15:23:27",no,no,no,no
6,279,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,5896,532,36,16,477,,http://www.imdb.com/title/tt0037884/,"2010-01-30 15:23:28",no,no,no,no
7,331,"One Flew Over the Cuckoo's Nest",1975,http://www.icheckmovies.com/movies/one+flew+over+the+cuckoos+nest/,75542,8233,216,33,1300,,http://www.imdb.com/title/tt0073486/,"2010-01-30 15:23:27",no,no,no,no
8,336,"The Outsiders",1983,http://www.icheckmovies.com/movies/the+outsiders/,7561,301,67,2,162,,http://www.imdb.com/title/tt0086066/,"2012-07-04 22:48:49",no,no,no,no
9,397,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,110217,16756,393,21,1321,,http://www.imdb.com/title/tt0111161/,"2010-01-30 15:23:28",no,no,no,no
10,426,"The Swimmer",1968,http://www.icheckmovies.com/movies/the+swimmer/,1476,223,11,6,208,,http://www.imdb.com/title/tt0063663/,"2021-03-18 02:45:09",no,no,no,no
11,-8,"37°2 le matin",1986,http://www.icheckmovies.com/movies/372+le+matin/,2090,189,33,8,254,"Betty Blue",http://www.imdb.com/title/tt0090563/,no,no,no,no,no
12,-4,"The Addiction",1995,http://www.icheckmovies.com/movies/the+addiction/,1409,82,47,5,174,,http://www.imdb.com/title/tt0112288/,no,no,no,no,no
13,3,"Almost Famous",2000,http://www.icheckmovies.com/movies/almost+famous/,39197,3470,205,9,592,,http://www.imdb.com/title/tt0181875/,"2012-11-02 17:12:54",no,no,no,no
14,7,"Amores perros",2000,http://www.icheckmovies.com/movies/amores+perros/,23946,2256,142,16,590,"Amores Perros",http://www.imdb.com/title/tt0245712/,"2010-01-30 15:23:26",no,no,no,no
15,28,"The Beguiled",1971,http://www.icheckmovies.com/movies/the+beguiled/,1271,79,8,3,169,,http://www.imdb.com/title/tt0066819/,no,no,no,no,no
16,28,"The Best of Everything",1959,http://www.icheckmovies.com/movies/the+best+of+everything/,211,11,1,1,57,,http://www.imdb.com/title/tt0052619/,no,no,no,no,no
17,32,"Big Wednesday",1978,http://www.icheckmovies.com/movies/big+wednesday/,621,43,9,3,93,"Summer of Innocence",http://www.imdb.com/title/tt0077235/,no,no,no,no,no
18,47,"The Boys in the Band",1970,http://www.icheckmovies.com/movies/the+boys+in+the+band/,454,42,2,1,117,,http://www.imdb.com/title/tt0065488/,no,no,no,no,no
19,48,Breakin',1984,http://www.icheckmovies.com/movies/breakin/,728,18,23,2,45,,http://www.imdb.com/title/tt0086998/,no,no,no,no,no
20,49,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,7966,946,54,21,633,,http://www.imdb.com/title/tt0037558/,"2010-01-30 15:23:26",no,no,no,no
21,49,"Bring Me the Head of Alfredo Garcia",1974,http://www.icheckmovies.com/movies/bring+me+the+head+of+alfredo+garcia/,3517,361,41,9,317,,http://www.imdb.com/title/tt0071249/,"2012-10-27 21:05:18",no,no,no,no
22,50,"Bronenosets Potemkin",1925,http://www.icheckmovies.com/movies/bronenosets+potemkin/,13165,866,81,27,829,"Battleship Potemkin",http://www.imdb.com/title/tt0015648/,"2010-01-30 15:23:26",no,no,no,no
23,61,Carny,1980,http://www.icheckmovies.com/movies/carny/,220,10,4,1,45,,http://www.imdb.com/title/tt0080500/,no,no,no,no,no
24,69,"Cisco Pike",1971,http://www.icheckmovies.com/movies/cisco+pike/,174,8,1,1,41,,http://www.imdb.com/title/tt0068384/,no,no,no,no,no
25,72,Cockfighter,1974,http://www.icheckmovies.com/movies/cockfighter/,497,36,5,2,122,,http://www.imdb.com/title/tt0071338/,no,no,no,no,no
26,91,"Das Experiment",2001,http://www.icheckmovies.com/movies/das+experiment/,7798,621,47,1,184,"The Experiment",http://www.imdb.com/title/tt0250258/,no,no,no,no,no
27,92,"The Dawn Patrol",1938,http://www.icheckmovies.com/movies/the+dawn+patrol-1938/,315,20,1,1,75,,http://www.imdb.com/title/tt0030044/,no,no,no,no,no
28,94,"Days of Heaven",1978,http://www.icheckmovies.com/movies/days+of+heaven/,9477,1157,74,17,642,,http://www.imdb.com/title/tt0077405/,"2012-04-21 14:46:31",no,no,no,no
29,107,"The Devils",1971,http://www.icheckmovies.com/movies/the+devils/,2472,302,32,10,334,,http://www.imdb.com/title/tt0066993/,no,no,no,no,no
30,115,"Don't Look Now",1973,http://www.icheckmovies.com/movies/dont+look+now/,8700,741,114,17,631,,http://www.imdb.com/title/tt0069995/,no,no,no,no,no
