rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,28747,4002,120,35,1304,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2010-01-30 15:23:27",no,no,no,no
2,0,Seppuku,1962,http://www.icheckmovies.com/movies/seppuku/,5308,1304,23,15,556,Harakiri,http://www.imdb.com/title/tt0056058/,"2010-01-30 15:23:27",no,no,no,no
3,0,"Jôi-uchi: Hairyô tsuma shimatsu",1967,http://www.icheckmovies.com/movies/joi-uchi+hairyo+tsuma+shimatsu/,1491,253,9,5,258,"Samurai Rebellion",http://www.imdb.com/title/tt0061847/,"2010-01-30 15:23:27",no,no,no,no
4,0,"Dai-bosatsu tôge",1966,http://www.icheckmovies.com/movies/dai-bosatsu+toge/,1432,225,6,4,225,"The Sword of Doom",http://www.imdb.com/title/tt0060277/,"2010-01-30 15:23:27",no,no,no,no
5,0,Yôjinbô,1961,http://www.icheckmovies.com/movies/yojinbo/,13372,1588,56,18,647,Yojimbo,http://www.imdb.com/title/tt0055630/,"2010-01-30 15:23:28",no,no,no,no
6,0,"Sanbiki no samurai",1964,http://www.icheckmovies.com/movies/sanbiki+no+samurai/,608,50,0,2,98,"Three Outlaw Samurai",http://www.imdb.com/title/tt0058652/,"2011-11-22 01:29:28",no,no,no,no
7,0,Samurai,1965,http://www.icheckmovies.com/movies/samurai/,219,20,1,1,77,"Samurai Assassin",http://www.imdb.com/title/tt0059673/,"2013-01-15 15:12:10",no,no,no,no
8,0,Kiru,1968,http://www.icheckmovies.com/movies/kiru/,583,48,4,3,106,Kill!,http://www.imdb.com/title/tt0063186/,"2013-07-07 19:47:28",no,no,no,no
9,0,Ran,1985,http://www.icheckmovies.com/movies/ran/,13173,1577,82,23,768,,http://www.imdb.com/title/tt0089881/,"2010-01-30 15:23:27",no,no,no,no
10,0,"Kakushi-toride no san-akunin",1958,http://www.icheckmovies.com/movies/kakushi-toride+no+san-akunin/,4330,442,17,8,361,"The Hidden Fortress",http://www.imdb.com/title/tt0051808/,"2010-01-30 15:23:27",no,no,no,no
11,0,"Kiba Ôkaminosuke",1966,http://www.icheckmovies.com/movies/kiba+okaminosuke/,107,6,1,1,37,"Samurai Wolf I",http://www.imdb.com/title/tt0199680/,no,no,no,no,no
12,0,"Jûsan-nin no shikaku",1963,http://www.icheckmovies.com/movies/jusan-nin+no+shikaku/,138,13,1,1,35,"13 Assassins",http://www.imdb.com/title/tt0057212/,no,no,no,no,no
13,0,Kumonosu-jô,1957,http://www.icheckmovies.com/movies/kumonosu-jo/,6075,692,32,17,517,"Throne of Blood",http://www.imdb.com/title/tt0050613/,"2010-01-30 15:23:27",no,no,no,no
14,0,Kagemusha,1980,http://www.icheckmovies.com/movies/kagemusha/,4323,418,17,12,375,,http://www.imdb.com/title/tt0080979/,"2010-01-30 15:23:27",no,no,no,no
15,0,Adauchi,1964,http://www.icheckmovies.com/movies/adauchi/,54,3,0,0,22,Revenge,http://www.imdb.com/title/tt0185842/,no,no,no,no,no
16,0,"Chiyari Fuji",1955,http://www.icheckmovies.com/movies/chiyari+fuji/,267,31,1,3,148,"Bloody Spear at Mount Fuji",http://www.imdb.com/title/tt0047937/,no,no,no,no,no
17,0,"Tsubaki Sanjûrô",1962,http://www.icheckmovies.com/movies/tsubaki+sanjuro/,4574,539,12,7,308,Sanjuro,http://www.imdb.com/title/tt0056443/,"2010-01-30 15:23:28",no,no,no,no
18,0,"Dai satsujin",1964,http://www.icheckmovies.com/movies/dai+satsujin/,57,11,0,0,26,"The Great Duel",http://www.imdb.com/title/tt0186939/,no,no,no,no,no
19,0,"Tasogare Seibei",2002,http://www.icheckmovies.com/movies/tasogare+seibei/,1980,318,11,8,243,"The Twilight Samurai",http://www.imdb.com/title/tt0351817/,"2010-05-10 03:38:35",no,no,no,no
20,0,"Daisan no kagemusha",1963,http://www.icheckmovies.com/movies/daisan+no+kagemusha/,56,10,0,1,76,"The Third Shadow Warrior",http://www.imdb.com/title/tt0200559/,no,no,no,no,no
21,0,Shura,1971,http://www.icheckmovies.com/movies/shura/,331,62,1,4,214,Demons,http://www.imdb.com/title/tt0165473/,no,no,no,no,no
22,0,"Kedamono no ken",1965,http://www.icheckmovies.com/movies/kedamono+no+ken/,552,35,2,2,86,"Sword of the Beast",http://www.imdb.com/title/tt0200768/,"2010-01-30 15:23:27",no,no,no,no
23,0,"Daisatsujin orochi",1966,http://www.icheckmovies.com/movies/daisatsujin+orochi/,66,4,0,0,17,"The Betrayal",http://www.imdb.com/title/tt0123028/,no,no,no,no,no
24,0,Fuefukigawa,1960,http://www.icheckmovies.com/movies/fuefukigawa/,81,7,0,2,70,"The River Fuefuki",http://www.imdb.com/title/tt0053842/,no,no,no,no,no
25,0,"Jûichinin no samurai",1967,http://www.icheckmovies.com/movies/juichinin+no+samurai/,44,5,0,0,15,"Eleven Samurai",http://www.imdb.com/title/tt0123127/,no,no,no,no,no
26,0,"Bakumatsu zankoku monogatari",1964,http://www.icheckmovies.com/movies/bakumatsu+zankoku+monogatari/,24,4,0,0,13,"Brutal Story at End of the Tokugawa Shogunate",http://www.imdb.com/title/tt0122390/,no,no,no,no,no
27,1,Goyôkin,1969,http://www.icheckmovies.com/movies/goyokin/,279,38,0,3,129,Goyokin,http://www.imdb.com/title/tt0064387/,no,no,no,no,no
28,-1,"Jûsan-nin no shikaku",2010,http://www.icheckmovies.com/movies/jusan-nin+no+shikaku-2010/,4265,322,27,1,245,"13 Assassins",http://www.imdb.com/title/tt1436045/,"2011-11-21 01:57:12",no,no,no,no
29,0,Ansatsu,1964,http://www.icheckmovies.com/movies/ansatsu/,231,16,2,1,98,Assassination,http://www.imdb.com/title/tt0164347/,no,no,no,no,no
30,0,"Bushi no ichibun",2006,http://www.icheckmovies.com/movies/bushi+no+ichibun/,184,23,1,1,51,"Love and Honour",http://www.imdb.com/title/tt0483578/,"2012-08-07 01:07:17",no,no,no,no
31,0,"Sengoku yarô",1963,http://www.icheckmovies.com/movies/sengoku+yaro/,34,4,0,1,27,"Warring Clans",http://www.imdb.com/title/tt0057489/,no,no,no,no,no
32,0,"Kakushi ken oni no tsume",2004,http://www.icheckmovies.com/movies/kakushi+ken+oni+no+tsume/,320,39,4,0,99,"The Hidden Blade",http://www.imdb.com/title/tt0442286/,"2012-02-19 01:55:58",no,no,no,no
33,82,Chokon,1926,http://www.icheckmovies.com/movies/chokon/,17,1,0,0,7,"An Unforgettable Grudge",http://www.imdb.com/title/tt0342194/,no,no,no,no,no
34,-1,"Dojo yaburi",1964,http://www.icheckmovies.com/movies/dojo+yaburi/,30,4,1,0,32,"Samurai from Nowhere",http://www.imdb.com/title/tt0199473/,"2012-01-01 05:24:43",no,no,no,no
35,-1,"Zoku Dojo Yaburi: Mondo Muyo",1964,http://www.icheckmovies.com/movies/zoku+dojo+yaburi+mondo+muyo/,11,2,0,0,17,,http://www.imdb.com/title/tt2158891/,no,no,no,no,no
36,-1,"Sengoku burai",1952,http://www.icheckmovies.com/movies/sengoku+burai/,15,3,0,0,25,"Sword for Hire",http://www.imdb.com/title/tt0045137/,no,no,no,no,no
37,-1,"Chi to suna no kettô",1963,http://www.icheckmovies.com/movies/chi+to+suna+no+ketto/,7,0,0,0,9,"Blood and Sand",http://www.imdb.com/title/tt0165673/,no,no,no,no,no
38,-1,"Tange Sazen yowa: Hyakuman ryô no tsubo",1935,http://www.icheckmovies.com/movies/tange+sazen+yowa+hyakuman+ryo+no+tsubo/,429,59,2,5,204,"Sazen Tange and the Pot Worth a Million Ryo",http://www.imdb.com/title/tt0027076/,no,no,no,no,no
39,-1,"Kiba Ôkaminosuke: jigoku giri",1967,http://www.icheckmovies.com/movies/kiba+okaminosuke+jigoku+giri/,59,2,1,0,14,"Samurai Wolf II",http://www.imdb.com/title/tt0199681/,no,no,no,no,no
40,-1,Chûshingura,1962,http://www.icheckmovies.com/movies/chushingura/,223,20,3,1,82,Chushingura,http://www.imdb.com/title/tt0055850/,"2011-11-12 22:25:58",no,no,no,no
41,-1,"Ninjô kami fûsen",1937,http://www.icheckmovies.com/movies/ninjo+kami+fusen/,638,68,2,5,203,"Humanity and Paper Balloons",http://www.imdb.com/title/tt0029314/,no,no,no,no,no
42,-1,"Okami yo rakujitsu o kire",1974,http://www.icheckmovies.com/movies/okami+yo+rakujitsu+o+kire/,40,3,0,1,30,"The Last Samurai",http://www.imdb.com/title/tt0123129/,no,no,no,no,no
43,-1,"Shin Heike monogatari",1955,http://www.icheckmovies.com/movies/shin+heike+monogatari/,284,11,3,5,108,"Taira Clan Saga",http://www.imdb.com/title/tt0048610/,no,no,no,no,no
44,-1,"Ryoma ansatsu",1974,http://www.icheckmovies.com/movies/ryoma+ansatsu/,70,5,1,2,85,"The Assassination of Ryoma",http://www.imdb.com/title/tt0186835/,no,no,no,no,no
45,-1,Rônin-gai,1957,http://www.icheckmovies.com/movies/ronin-gai-1957/,10,1,0,0,8,,http://www.imdb.com/title/tt0360944/,no,no,no,no,no
46,-1,Tokkan,1975,http://www.icheckmovies.com/movies/tokkan/,16,1,1,0,11,"Battle Cry",http://www.imdb.com/title/tt0164937/,no,no,no,no,no
47,-1,"Ame agaru",1999,http://www.icheckmovies.com/movies/ame+agaru/,238,28,0,1,109,"After the Rain",http://www.imdb.com/title/tt0181960/,no,no,no,no,no
48,-1,"Hisshiken torisashi",2010,http://www.icheckmovies.com/movies/hisshiken+torisashi/,38,3,0,0,20,"Sword of Desperation",http://www.imdb.com/title/tt1606761/,"2012-05-02 03:41:01",no,no,no,no
49,-1,"Ibun Sarutobi Sasuke",1965,http://www.icheckmovies.com/movies/ibun+sarutobi+sasuke/,404,13,4,2,83,"Samurai Spy",http://www.imdb.com/title/tt0059303/,no,no,no,no,no
50,-1,"Fûrin kazan",1969,http://www.icheckmovies.com/movies/furin+kazan/,65,4,0,1,37,"Under the Banner of Samurai",http://www.imdb.com/title/tt0064353/,no,no,no,no,no
51,-1,"Mibu gishi den",2002,http://www.icheckmovies.com/movies/mibu+gishi+den/,332,24,4,2,62,"When the Last Sword is Drawn",http://www.imdb.com/title/tt0359692/,"2013-12-01 01:57:14",no,no,no,no
52,-1,"Zatôichi chikemuri kaidô",1967,http://www.icheckmovies.com/movies/zatoichi+chikemuri+kaido/,225,11,3,2,51,"Zatoichi Challenged",http://www.imdb.com/title/tt0063834/,"2011-12-31 17:54:48",no,no,no,no
53,-1,"Tokugawa Ieyasu",1965,http://www.icheckmovies.com/movies/tokugawa+ieyasu/,3,0,1,0,10,,http://www.imdb.com/title/tt0123301/,no,no,no,no,no
54,-1,"Amakusa Shirô Tokisada",1962,http://www.icheckmovies.com/movies/amakusa+shiro+tokisada/,37,1,1,0,17,"The Revolutionary",http://www.imdb.com/title/tt0055743/,no,no,no,no,no
