rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"The Green Slime",1968,http://www.icheckmovies.com/movies/the+green+slime/,316,10,23,1,72,"After the Destruction of Space Station Gamma: Big Military Operation",http://www.imdb.com/title/tt0064393/,"2020-10-31 22:12:04",no,no,no,no
2,,"Invaders from the Deep",1981,http://www.icheckmovies.com/movies/invaders+from+the+deep/,31,0,7,0,3,,http://www.imdb.com/title/tt0128273/,"2019-09-13 22:53:56",no,no,no,no
3,,"Revenge of the Mysterons from Mars",1981,http://www.icheckmovies.com/movies/revenge+of+the+mysterons+from+mars/,27,0,5,0,2,,http://www.imdb.com/title/tt1272026/,"2019-09-15 17:54:37",no,no,no,no
4,,"Star Force: Fugitive Alien II",1987,http://www.icheckmovies.com/movies/star+force+fugitive+alien+ii/,68,0,11,0,4,,http://www.imdb.com/title/tt0131028/,"2019-09-28 20:51:22",no,no,no,no
5,,"Daikaijû kettô: Gamera tai Barugon",1966,http://www.icheckmovies.com/movies/daikaiju+ketto+gamera+tai+barugon/,211,5,15,0,35,"Gamera vs. Barugon",http://www.imdb.com/title/tt0060446/,"2019-09-15 17:54:41",no,no,no,no
6,,"Daikaijû Gamera",1965,http://www.icheckmovies.com/movies/daikaiju+gamera/,311,7,21,0,43,"Gamera: The Giant Monster",http://www.imdb.com/title/tt0059080/,"2019-09-28 20:51:23",no,no,no,no
7,,"Daikaijû kûchûsen: Gamera tai Gyaosu",1967,http://www.icheckmovies.com/movies/daikaiju+kuchusen+gamera+tai+gyaosu/,228,3,16,2,48,"Gamera vs. Gyaos",http://www.imdb.com/title/tt0061695/,"2019-10-30 03:10:17",no,no,no,no
8,,"Gamera tai Shinkai kaijû Jigura",1971,http://www.icheckmovies.com/movies/gamera+tai+shinkai+kaiju+jigura/,133,2,16,0,27,"Gamera vs. Zigra",http://www.imdb.com/title/tt0067123/,"2019-10-31 01:36:07",no,no,no,no
9,,"Gamera tai daiakuju Giron",1969,http://www.icheckmovies.com/movies/gamera+tai+daiakuju+giron/,319,6,25,1,56,"Gamera vs. Guillon",http://www.imdb.com/title/tt0064360/,"2019-10-31 01:36:21",no,no,no,no
10,,"Phase IV",1974,http://www.icheckmovies.com/movies/phase+iv/,774,78,15,0,189,,http://www.imdb.com/title/tt0070531/,"2019-10-31 22:32:33",no,no,no,no
