rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Rio Bravo",1959,http://www.icheckmovies.com/movies/rio+bravo/,8993,840,43,18,618,,http://www.imdb.com/title/tt0053221/,"2011-12-31 17:52:25",no,no,no,no
2,,"Taxi Driver",1976,http://www.icheckmovies.com/movies/taxi+driver/,69501,7290,309,31,1520,,http://www.imdb.com/title/tt0075314/,"2010-01-30 15:23:28",no,no,no,no
3,,"Blow Out",1981,http://www.icheckmovies.com/movies/blow+out/,6072,532,35,5,340,,http://www.imdb.com/title/tt0082085/,"2012-07-27 13:07:41",no,no,no,no
4,,"One-Eyed Jacks",1961,http://www.icheckmovies.com/movies/one-eyed+jacks/,1481,56,14,10,213,,http://www.imdb.com/title/tt0055257/,"2012-07-29 16:37:54",no,no,no,no
5,,Breathless,1983,http://www.icheckmovies.com/movies/breathless/,1265,57,30,2,81,,http://www.imdb.com/title/tt0085276/,"2015-01-17 21:18:39",no,no,no,no
6,,"His Girl Friday",1940,http://www.icheckmovies.com/movies/his+girl+friday/,11515,1143,76,20,713,,http://www.imdb.com/title/tt0032599/,"2010-01-30 15:23:27",no,no,no,no
7,,"Rolling Thunder",1977,http://www.icheckmovies.com/movies/rolling+thunder/,1156,71,7,3,121,,http://www.imdb.com/title/tt0076637/,"2014-10-31 21:52:39",no,no,no,no
8,,Badlands,1973,http://www.icheckmovies.com/movies/badlands/,11888,1346,49,22,685,,http://www.imdb.com/title/tt0069762/,"2010-01-30 15:23:26",no,no,no,no
9,,"Casualties of War",1989,http://www.icheckmovies.com/movies/casualties+of+war/,2257,102,25,2,105,,http://www.imdb.com/title/tt0097027/,"2012-07-18 03:07:14",no,no,no,no
10,,"Used Cars",1980,http://www.icheckmovies.com/movies/used+cars/,1140,44,21,1,81,,http://www.imdb.com/title/tt0081698/,"2012-06-17 17:24:37",no,no,no,no
11,,"It's a Mad Mad Mad Mad World",1963,http://www.icheckmovies.com/movies/its+a+mad+mad+mad+mad+world/,5713,315,67,5,264,,http://www.imdb.com/title/tt0057193/,"2010-01-30 15:23:27",no,no,no,no
12,,"The Life and Times of Judge Roy Bean",1972,http://www.icheckmovies.com/movies/the+life+and+times+of+judge+roy+bean/,792,36,11,2,119,,http://www.imdb.com/title/tt0068853/,"2011-02-24 01:31:30",no,no,no,no
13,,"Where Eagles Dare",1968,http://www.icheckmovies.com/movies/where+eagles+dare/,3688,244,22,6,208,,http://www.imdb.com/title/tt0065207/,"2011-02-03 03:43:36",no,no,no,no
14,,"The Dirty Dozen",1967,http://www.icheckmovies.com/movies/the+dirty+dozen/,7855,467,36,8,306,,http://www.imdb.com/title/tt0061578/,"2011-01-02 01:46:48",no,no,no,no
15,,"Bringing Up Baby",1938,http://www.icheckmovies.com/movies/bringing+up+baby/,11322,1153,138,22,678,,http://www.imdb.com/title/tt0029947/,"2010-01-30 15:23:26",no,no,no,no
16,,"Dip huet seung hung",1989,http://www.icheckmovies.com/movies/dip+huet+seung+hung/,5249,442,59,15,407,"The Killer",http://www.imdb.com/title/tt0097202/,"2010-01-30 15:23:27",no,no,no,no
17,,"The Driver",1978,http://www.icheckmovies.com/movies/the+driver/,1913,140,10,6,207,,http://www.imdb.com/title/tt0077474/,"2012-07-21 17:10:26",no,no,no,no
18,,"Blood Simple",1984,http://www.icheckmovies.com/movies/blood+simple-1984/,10605,945,56,8,430,,http://www.imdb.com/title/tt0086979/,"2011-05-28 17:11:54",no,no,no,no
19,,"The Long Good Friday",1980,http://www.icheckmovies.com/movies/the+long+good+friday/,3117,244,16,11,259,,http://www.imdb.com/title/tt0081070/,"2012-04-22 04:38:34",no,no,no,no
20,,"Mona Lisa",1986,http://www.icheckmovies.com/movies/mona+lisa/,2045,114,12,6,197,,http://www.imdb.com/title/tt0091538/,"2015-03-08 03:28:57",no,no,no,no
21,,"The Hit",1984,http://www.icheckmovies.com/movies/the+hit/,1239,92,17,5,122,,http://www.imdb.com/title/tt0087414/,no,no,no,no,no
22,,"The Killers",1964,http://www.icheckmovies.com/movies/the+killers-1964/,1467,53,11,6,126,,http://www.imdb.com/title/tt0058262/,"2010-12-12 04:29:12",no,no,no,no
23,,"Comfort and Joy",1984,http://www.icheckmovies.com/movies/comfort+and+joy/,347,19,1,3,101,,http://www.imdb.com/title/tt0087072/,no,no,no,no,no
24,,"Local Hero",1983,http://www.icheckmovies.com/movies/local+hero/,3337,230,29,10,276,,http://www.imdb.com/title/tt0085859/,"2015-03-08 04:50:03",no,no,no,no
25,,"Le petit soldat",1963,http://www.icheckmovies.com/movies/le+petit+soldat/,1248,56,17,3,124,"The Little Soldier",http://www.imdb.com/title/tt0054177/,no,no,no,no,no
26,,"Vivre sa vie: Film en douze tableaux",1962,http://www.icheckmovies.com/movies/vivre+sa+vie+film+en+douze+tableaux/,4966,665,43,11,447,"Vivre Sa Vie",http://www.imdb.com/title/tt0056663/,no,no,no,no,no
27,,"À bout de souffle",1960,http://www.icheckmovies.com/movies/a+bout+de+souffle/,15457,1718,139,27,903,Breathless,http://www.imdb.com/title/tt0053472/,"2015-01-10 20:12:04",no,no,no,no
