rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Da zui xia",1966,http://www.icheckmovies.com/movies/da+zui+xia/,1028,54,11,4,145,"Come Drink with Me",http://www.imdb.com/title/tt0059079/,"2014-11-28 13:38:02",no,no,no,no
2,,"Du bei dao",1967,http://www.icheckmovies.com/movies/du+bei+dao/,761,39,6,4,84,"The One-Armed Swordsman",http://www.imdb.com/title/tt0061597/,"2012-08-10 02:48:37",no,no,no,no
3,,"Du bei dao wang",1969,http://www.icheckmovies.com/movies/du+bei+dao+wang/,117,9,0,0,24,"Return of the One Armed Swordsman",http://www.imdb.com/title/tt0064265/,"2015-03-15 23:56:11",no,no,no,no
4,,"Xia nü",1971,http://www.icheckmovies.com/movies/xia+nu/,1402,123,15,15,303,"A Touch of Zen",http://www.imdb.com/title/tt0064451/,"2013-07-14 03:15:44",no,no,no,no
5,,"Long hu dou",1970,http://www.icheckmovies.com/movies/long+hu+dou/,178,8,2,1,41,"The Hammer of God",http://www.imdb.com/title/tt0065999/,no,no,no,no,no
6,,"Bao chou",1970,http://www.icheckmovies.com/movies/bao+chou/,49,4,0,0,19,Vengeance,http://www.imdb.com/title/tt0065450/,"2020-04-10 15:26:49",no,no,no,no
7,,"Xin du bi dao",1971,http://www.icheckmovies.com/movies/xin+du+bi+dao/,75,5,0,0,31,"The New One-Armed Swordsman",http://www.imdb.com/title/tt0069518/,"2020-04-05 23:05:44",no,no,no,no
8,,"Shui hu zhuan",1972,http://www.icheckmovies.com/movies/shui+hu+zhuan/,50,1,0,0,13,"The Water Margin",http://www.imdb.com/title/tt0069265/,"2020-03-31 17:04:21",no,no,no,no
9,,"Jing wu men",1972,http://www.icheckmovies.com/movies/jing+wu+men/,2378,101,18,8,162,"Fist of Fury",http://www.imdb.com/title/tt0068767/,"2010-01-30 15:53:52",no,no,no,no
10,,"Meng long guo jiang",1972,http://www.icheckmovies.com/movies/meng+long+guo+jiang/,3693,117,19,7,129,"The Way of the Dragon",http://www.imdb.com/title/tt0068935/,"2012-05-15 02:04:21",no,no,no,no
11,,"Ai nu",1972,http://www.icheckmovies.com/movies/ai+nu/,98,9,1,1,63,"Intimate Confessions of a Chinese Courtesan",http://www.imdb.com/title/tt0068744/,no,no,no,no,no
12,,"Enter the Dragon",1973,http://www.icheckmovies.com/movies/enter+the+dragon/,16822,832,59,13,399,,http://www.imdb.com/title/tt0070034/,"2010-01-30 15:23:27",no,no,no,no
13,,"Ci Ma",1973,http://www.icheckmovies.com/movies/ci+ma/,66,2,1,1,32,"Dynasty of Blood",http://www.imdb.com/title/tt0069881/,no,no,no,no,no
14,,"Shao Lin wu zu",1974,http://www.icheckmovies.com/movies/shao+lin+wu+zu/,73,5,1,0,22,"5 Masters of Death",http://www.imdb.com/title/tt0072991/,no,no,no,no,no
15,,"Dong kai ji",1975,http://www.icheckmovies.com/movies/dong+kai+ji/,27,3,0,0,11,"Seven Blows of the Dragon II",http://www.imdb.com/title/tt0071389/,"2019-03-22 04:25:00",no,no,no,no
16,,"Du bi quan wang da po xue di zi",1976,http://www.icheckmovies.com/movies/du+bi+quan+wang+da+po+xue+di+zi/,679,61,6,3,94,"Master of the Flying Guillotine",http://www.imdb.com/title/tt0072913/,"2011-12-11 18:17:06",no,no,no,no
17,,"Tien ya ming yue dao",1976,http://www.icheckmovies.com/movies/tien+ya+ming+yue+dao/,127,7,1,2,47,"The Magic Blade",http://www.imdb.com/title/tt0075329/,"2020-04-12 15:15:01",no,no,no,no
18,,"Liu xing hu die jian",1976,http://www.icheckmovies.com/movies/liu+xing+hu+die+jian/,60,4,0,0,18,"Killer Clans",http://www.imdb.com/title/tt0074745/,"2020-04-11 17:48:16",no,no,no,no
19,,"Hong Xi Guan",1977,http://www.icheckmovies.com/movies/hong+xi+guan/,117,5,1,0,33,"Executioners from Shaolin",http://www.imdb.com/title/tt0076168/,no,no,no,no,no
20,,"Jue sha ling",1977,http://www.icheckmovies.com/movies/jue+sha+ling/,8,0,1,0,4,"Judgement of an Assassin",http://www.imdb.com/title/tt0076241/,no,no,no,no,no
21,,"Shao Lin san shi liu fang",1978,http://www.icheckmovies.com/movies/shao+lin+san+shi+liu+fang/,1879,171,6,7,187,"The 36th Chamber of Shaolin",http://www.imdb.com/title/tt0078243/,"2011-11-08 04:21:36",no,no,no,no
22,,"Tang lang",1978,http://www.icheckmovies.com/movies/tang+lang/,50,2,0,0,15,,http://www.imdb.com/title/tt0078360/,no,no,no,no,no
23,,"Zhong hua zhang fu",1978,http://www.icheckmovies.com/movies/zhong+hua+zhang+fu/,205,30,1,1,84,"Heroes of the East",http://www.imdb.com/title/tt0080172/,no,no,no,no,no
24,,"Wu du",1978,http://www.icheckmovies.com/movies/wu+du/,1087,45,13,3,111,"Five Deadly Venoms",http://www.imdb.com/title/tt0077559/,"2014-11-09 20:24:10",no,no,no,no
25,,"Can que",1978,http://www.icheckmovies.com/movies/can+que/,496,31,3,2,91,"Crippled Avengers",http://www.imdb.com/title/tt0077292/,"2011-11-09 01:04:01",no,no,no,no
26,,"Long xie shi san ying",1978,http://www.icheckmovies.com/movies/long+xie+shi+san+ying/,79,6,0,0,17,"The Avenging Eagle",http://www.imdb.com/title/tt0077868/,no,no,no,no,no
27,,"Se ying diu sau",1978,http://www.icheckmovies.com/movies/se+ying+diu+sau/,881,36,3,2,68,"Snake in the Eagle's Shadow",http://www.imdb.com/title/tt0078252/,"2012-05-09 02:31:25",no,no,no,no
28,,"Zui quan",1978,http://www.icheckmovies.com/movies/zui+quan/,2796,163,22,9,167,"Drunken Master",http://www.imdb.com/title/tt0080179/,"2012-01-21 05:14:01",no,no,no,no
29,,"Lan tou He",1979,http://www.icheckmovies.com/movies/lan+tou+he/,128,7,1,1,51,"Dirty Ho",http://www.imdb.com/title/tt0079432/,no,no,no,no,no
30,,"Feng hou",1979,http://www.icheckmovies.com/movies/feng+hou/,261,9,2,1,42,"Mad Monkey Kung Fu",http://www.imdb.com/title/tt0079147/,"2012-05-26 23:50:58",no,no,no,no
31,,"Jin bei tong",1979,http://www.icheckmovies.com/movies/jin+bei+tong/,187,9,0,0,27,"The Kid with the Golden Arm",http://www.imdb.com/title/tt0079372/,"2012-07-30 05:11:04",no,no,no,no
32,,"Lin Shi Rong",1979,http://www.icheckmovies.com/movies/lin+shi+rong/,371,18,3,2,52,"Magnificent Butcher",http://www.imdb.com/title/tt0079472/,"2012-07-31 00:27:40",no,no,no,no
33,,"Za jia xiao zi",1979,http://www.icheckmovies.com/movies/za+jia+xiao+zi/,88,6,0,0,22,Knockabout,http://www.imdb.com/title/tt0080166/,no,no,no,no,no
34,,"Shao Lin da peng da shi",1980,http://www.icheckmovies.com/movies/shao+lin+da+peng+da+shi/,197,14,3,0,39,"Return to the 36th Chamber",http://www.imdb.com/title/tt0081494/,no,no,no,no,no
35,,"Hong Wending san po bai lian jiao",1980,http://www.icheckmovies.com/movies/hong+wending+san+po+bai+lian+jiao/,103,11,0,0,31,"Clan of the White Lotus",http://www.imdb.com/title/tt0080905/,no,no,no,no,no
36,,"Bei pan shi men",1980,http://www.icheckmovies.com/movies/bei+pan+shi+men/,34,0,3,0,15,"The Master",http://www.imdb.com/title/tt0201470/,no,no,no,no,no
37,,"Shi di chu ma",1980,http://www.icheckmovies.com/movies/shi+di+chu+ma/,479,17,6,2,54,"The Young Master",http://www.imdb.com/title/tt0081499/,"2015-07-25 01:50:09",no,no,no,no
38,,"Gui da gui",1980,http://www.icheckmovies.com/movies/gui+da+gui/,273,18,5,2,81,"Close Encounters of the Spooky Kind",http://www.imdb.com/title/tt0080827/,no,no,no,no,no
39,,"Zhang bei",1981,http://www.icheckmovies.com/movies/zhang+bei/,87,7,1,1,41,"My Young Auntie",http://www.imdb.com/title/tt0080717/,no,no,no,no,no
40,,"Wu guan",1981,http://www.icheckmovies.com/movies/wu+guan/,72,5,0,1,29,"Martial Club",http://www.imdb.com/title/tt0083343/,no,no,no,no,no
41,,"Cha shou",1981,http://www.icheckmovies.com/movies/cha+shou/,49,2,0,0,14,"The Masked Avengers",http://www.imdb.com/title/tt0082153/,no,no,no,no,no
42,,"Baai ga jai",1981,http://www.icheckmovies.com/movies/baai+ga+jai/,310,23,1,3,61,"The Prodigal Son",http://www.imdb.com/title/tt0085211/,no,no,no,no,no
43,,"Shi ba ban wu yi",1982,http://www.icheckmovies.com/movies/shi+ba+ban+wu+yi/,142,10,0,1,43,"Legendary Weapons of China",http://www.imdb.com/title/tt0084671/,no,no,no,no,no
44,,"Ren zhe wu di",1982,http://www.icheckmovies.com/movies/ren+zhe+wu+di/,343,34,1,2,71,"Five Element Ninjas",http://www.imdb.com/title/tt0084921/,no,no,no,no,no
45,,"Ren pi deng long",1982,http://www.icheckmovies.com/movies/ren+pi+deng+long/,72,3,1,0,15,"Human Lanterns",http://www.imdb.com/title/tt0084586/,no,no,no,no,no
46,,"Shao Lin si",1982,http://www.icheckmovies.com/movies/shao+lin+si-1982/,851,26,1,1,49,"The Shaolin Temple",http://www.imdb.com/title/tt0079891/,"2012-07-31 23:37:18",no,no,no,no
47,,"Hu ying",1983,http://www.icheckmovies.com/movies/hu+ying/,8,1,0,0,8,"Fistfull of Talons",http://www.imdb.com/title/tt0085696/,no,no,no,no,no
48,,"Xian si jue",1983,http://www.icheckmovies.com/movies/xian+si+jue/,207,12,0,3,51,"Duel to the Death",http://www.imdb.com/title/tt0084924/,no,no,no,no,no
49,,"'A' gai wak",1983,http://www.icheckmovies.com/movies/a+gai+wak/,1368,62,10,4,102,"Project A",http://www.imdb.com/title/tt0085127/,"2015-07-21 03:21:23",no,no,no,no
50,,"Pi li shi jie",1985,http://www.icheckmovies.com/movies/pi+li+shi+jie/,98,6,0,0,12,"Master Killer III",http://www.imdb.com/title/tt0089029/,no,no,no,no,no
51,,"Wu Lang ba gua gun",1984,http://www.icheckmovies.com/movies/wu+lang+ba+gua+gun/,416,40,1,4,134,"The 8 Diagram Pole Fighter",http://www.imdb.com/title/tt0086606/,no,no,no,no,no
52,,"Hung kuen dai see",1984,http://www.icheckmovies.com/movies/hung+kuen+dai+see/,40,4,0,0,11,"Lightning Fists of Shaolin",http://www.imdb.com/title/tt0087623/,no,no,no,no,no
53,,"Kuai can che",1984,http://www.icheckmovies.com/movies/kuai+can+che/,681,32,8,3,77,"Wheels on Meals",http://www.imdb.com/title/tt0087578/,no,no,no,no,no
54,,"Shao Lin xiao zi",1984,http://www.icheckmovies.com/movies/shao+lin+xiao+zi/,71,2,0,0,12,"Kids of Shaolin",http://www.imdb.com/title/tt0086301/,no,no,no,no,no
55,,"Ging chaat goo si",1985,http://www.icheckmovies.com/movies/ging+chaat+goo+si/,3806,185,11,10,193,"Police Story",http://www.imdb.com/title/tt0089374/,"2012-05-13 03:40:48",no,no,no,no
56,,"Huang jia shi jie",1985,http://www.icheckmovies.com/movies/huang+jia+shi+jie/,151,9,2,1,21,"Yes, Madam!",http://www.imdb.com/title/tt0093229/,no,no,no,no,no
57,,"Zhi fa xian feng",1986,http://www.icheckmovies.com/movies/zhi+fa+xian+feng/,63,5,1,0,22,"Above the Law",http://www.imdb.com/title/tt0094374/,no,no,no,no,no
58,,"Nan bei Shao Lin",1986,http://www.icheckmovies.com/movies/nan+bei+shao+lin/,163,2,1,1,30,"Martial Arts of Shaolin",http://www.imdb.com/title/tt0091607/,no,no,no,no,no
59,,"Do ma daan",1986,http://www.icheckmovies.com/movies/do+ma+daan/,521,39,6,4,118,"Peking Opera Blues",http://www.imdb.com/title/tt0090952/,no,no,no,no,no
