rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Gou hun yan qu",1952,http://www.icheckmovies.com/movies/gou+hun+yan+qu/,0,0,0,0,1,,http://www.imdb.com/title/tt1192398/,no,no,no,no,no
2,,"Hei shou tao",1953,http://www.icheckmovies.com/movies/hei+shou+tao/,0,0,0,0,1,Nightmare,http://www.imdb.com/title/tt0459831/,no,no,no,no,no
3,,"Ge nu Gong Lingyan",1953,http://www.icheckmovies.com/movies/ge+nu+gong+lingyan/,0,0,0,0,1,,http://www.imdb.com/title/tt0349480/,no,no,no,no,no
4,,"You huo",1954,http://www.icheckmovies.com/movies/you+huo/,0,0,0,0,1,,http://www.imdb.com/title/tt0205582/,no,no,no,no,no
5,,"Lian ai yu yi wu",1955,http://www.icheckmovies.com/movies/lian+ai+yu+yi+wu-1955-1/,0,0,0,0,1,,http://www.imdb.com/title/tt0349722/,no,no,no,no,no
6,,"Ling yan",1956,http://www.icheckmovies.com/movies/ling+yan/,0,0,0,0,1,,http://www.imdb.com/title/tt0205222/,no,no,no,no,no
7,,"Mei gu",1956,http://www.icheckmovies.com/movies/mei+gu/,0,0,0,0,1,,http://www.imdb.com/title/tt0211509/,no,no,no,no,no
8,,"Byaku fujin no yoren",1956,http://www.icheckmovies.com/movies/byaku+fujin+no+yoren/,10,1,1,0,11,"Madame White Snake",http://www.imdb.com/title/tt0051439/,no,no,no,no,no
9,,"Luan shi yao ji",1956,http://www.icheckmovies.com/movies/luan+shi+yao+ji/,0,0,0,0,1,,http://www.imdb.com/title/tt0459887/,no,no,no,no,no
10,,"Qiu ba",1956,http://www.icheckmovies.com/movies/qiu+ba/,0,0,0,0,1,,http://www.imdb.com/title/tt0211586/,no,no,no,no,no
11,,"Yan wu xiao hun",1957,http://www.icheckmovies.com/movies/yan+wu+xiao+hun/,0,0,0,0,1,,http://www.imdb.com/title/tt0460058/,no,no,no,no,no
12,,"Ye lai xiang",1957,http://www.icheckmovies.com/movies/ye+lai+xiang/,1,0,0,0,1,,http://www.imdb.com/title/tt0192839/,no,no,no,no,no
13,,"Masyarakat Pincang",1958,http://www.icheckmovies.com/movies/masyarakat+pincang/,0,0,0,0,1,,http://www.imdb.com/title/tt0236478/,no,no,no,no,no
14,,"Ankoru watto monogatari utsukushiki aishu",1958,http://www.icheckmovies.com/movies/ankoru+watto+monogatari+utsukushiki+aishu/,0,0,0,0,1,,http://www.imdb.com/title/tt0182718/,no,no,no,no,no
15,,"Anak Pontianak",1958,http://www.icheckmovies.com/movies/anak+pontianak/,1,0,0,0,1,"Curse of the Vampire",http://www.imdb.com/title/tt0051356/,no,no,no,no,no
16,,"Jiu dian qing sha an",1958,http://www.icheckmovies.com/movies/jiu+dian+qing+sha+an/,0,0,0,0,1,,http://www.imdb.com/title/tt0459853/,no,no,no,no,no
17,,"Yi guo qing yuan",1958,http://www.icheckmovies.com/movies/yi+guo+qing+yuan/,0,0,0,0,1,,http://www.imdb.com/title/tt0350351/,no,no,no,no,no
18,,"Fung mun suk neui",1958,http://www.icheckmovies.com/movies/fung+mun+suk+neui/,0,0,0,0,1,,http://www.imdb.com/title/tt0455488/,no,no,no,no,no
19,,"Yuan yang gu",1958,http://www.icheckmovies.com/movies/yuan+yang+gu/,0,0,0,0,1,,http://www.imdb.com/title/tt0207843/,no,no,no,no,no
20,,"Jie hong deng",1958,http://www.icheckmovies.com/movies/jie+hong+deng/,0,0,0,0,1,,http://www.imdb.com/title/tt0456484/,no,no,no,no,no
21,,"Miao shou hui chun",1958,http://www.icheckmovies.com/movies/miao+shou+hui+chun/,0,0,0,0,1,,http://www.imdb.com/title/tt0195065/,no,no,no,no,no
22,,"Yu nu jing hun",1958,http://www.icheckmovies.com/movies/yu+nu+jing+hun/,0,0,0,0,1,,http://www.imdb.com/title/tt0460060/,no,no,no,no,no
23,,"Hou men",1960,http://www.icheckmovies.com/movies/hou+men/,3,0,0,0,3,"Rear Entrance",http://www.imdb.com/title/tt0053212/,no,no,no,no,no
24,,"Man tang hong",1959,http://www.icheckmovies.com/movies/man+tang+hong/,0,0,0,0,1,,http://www.imdb.com/title/tt0453147/,no,no,no,no,no
25,,"Qing chun le",1959,http://www.icheckmovies.com/movies/qing+chun+le/,0,0,0,0,1,,http://www.imdb.com/title/tt0453189/,no,no,no,no,no
26,,"Liu lian piao xiang",1959,http://www.icheckmovies.com/movies/liu+lian+piao+xiang/,0,0,0,0,1,"When Durians Bloom",http://www.imdb.com/title/tt0453140/,no,no,no,no,no
27,,"Sha ren de qing shu",1959,http://www.icheckmovies.com/movies/sha+ren+de+qing+shu/,0,0,0,0,1,,http://www.imdb.com/title/tt0453211/,no,no,no,no,no
