rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Richard Pryor: Live on the Sunset Strip",1982,http://www.icheckmovies.com/movies/richard+pryor+live+on+the+sunset+strip/,368,16,3,0,21,,http://www.imdb.com/title/tt0084597/,no,no,no,no,no
2,,"Chris Rock: Bring the Pain",1996,http://www.icheckmovies.com/movies/chris+rock+bring+the+pain/,279,17,3,0,18,,http://www.imdb.com/title/tt0200529/,no,no,no,no,no
3,,"Carlin at Carnegie",1983,http://www.icheckmovies.com/movies/carlin+at+carnegie/,58,1,1,0,2,,http://www.imdb.com/title/tt0248827/,"2021-06-21 14:21:05",no,no,no,no
4,,"Steve Martin: A Wild and Crazy Guy",1978,http://www.icheckmovies.com/movies/steve+martin+a+wild+and+crazy+guy/,25,1,0,0,4,,http://www.imdb.com/title/tt0388440/,"2021-02-10 16:51:12",no,no,no,no
5,,"Eddie Murphy: Delirious",1983,http://www.icheckmovies.com/movies/eddie+murphy+delirious/,1997,86,12,0,52,,http://www.imdb.com/title/tt0085474/,"2020-12-03 20:11:57",no,no,no,no
6,,"Louis C.K.: Shameless",2007,http://www.icheckmovies.com/movies/louis+c.k.+shameless/,858,64,2,0,23,,http://www.imdb.com/title/tt0927619/,no,no,no,no,no
7,,"An Evening with Robin Williams",1982,http://www.icheckmovies.com/movies/an+evening+with+robin+williams/,65,2,0,0,5,,http://www.imdb.com/title/tt0195691/,no,no,no,no,no
8,,"Dave Chappelle: Killin' Them Softly",2000,http://www.icheckmovies.com/movies/dave+chappelle+killin+them+softly/,664,55,4,0,25,,http://www.imdb.com/title/tt0251654/,no,no,no,no,no
9,,"Bill Cosby: Himself",1983,http://www.icheckmovies.com/movies/bill+cosby+himself/,367,30,1,0,21,,http://www.imdb.com/title/tt0083652/,no,no,no,no,no
10,,"Paula Poundstone: Cats, Cops and Stuff",1990,http://www.icheckmovies.com/movies/paula+poundstone+cats+cops+and+stuff/,9,1,0,0,3,,http://www.imdb.com/title/tt0298261/,no,no,no,no,no
11,,"A Steven Wright Special",1985,http://www.icheckmovies.com/movies/a+steven+wright+special/,18,0,0,0,9,,http://www.imdb.com/title/tt0090072/,no,no,no,no,no
12,,"Bill Hicks: Revelations",1993,http://www.icheckmovies.com/movies/bill+hicks+revelations/,298,28,2,0,20,,http://www.imdb.com/title/tt0152183/,"2021-07-03 22:11:38",no,no,no,no
13,,"Janeane Garofalo",1995,http://www.icheckmovies.com/movies/janeane+garofalo-1995/,3,0,0,0,4,,http://www.imdb.com/title/tt0894111/,no,no,no,no,no
14,,"Maria Bamford: The Special Special Special!",2012,http://www.icheckmovies.com/movies/maria+bamford+the+special+special+specialexclamation/,56,3,3,0,7,,http://www.imdb.com/title/tt2546038/,no,no,no,no,no
15,,"Comedy Central Presents: Mitch Hedberg",1999,http://www.icheckmovies.com/movies/comedy+central+presents+mitch+hedberg/,112,9,1,0,4,,http://www.imdb.com/title/tt0454803/,no,no,no,no,no
16,,"On Location: The Roseanne Barr Show",1987,http://www.icheckmovies.com/movies/on+location+the+roseanne+barr+show-1987/,4,0,0,0,2,,http://www.imdb.com/title/tt0093882/,no,no,no,no,no
17,,"Zach Galifianakis: Live at the Purple Onion",2006,http://www.icheckmovies.com/movies/zach+galifianakis+live+at+the+purple+onion/,448,19,6,0,18,,http://www.imdb.com/title/tt0804558/,no,no,no,no,no
18,,"Whoopi Goldberg: Direct from Broadway",1985,http://www.icheckmovies.com/movies/whoopi+goldberg+direct+from+broadway/,6,1,0,0,2,,http://www.imdb.com/title/tt0457207/,no,no,no,no,no
19,,"Mike Birbiglia: My Girlfriend's Boyfriend",2013,http://www.icheckmovies.com/movies/mike+birbiglia+my+girlfriends+boyfriend/,204,13,3,0,8,,http://www.imdb.com/title/tt2937390/,no,no,no,no,no
20,,"Eddie Izzard: Dress to Kill",1999,http://www.icheckmovies.com/movies/eddie+izzard+dress+to+kill/,1126,91,3,0,30,,http://www.imdb.com/title/tt0184424/,"2021-05-25 18:19:35",no,no,no,no
