rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Idi i smotri",1985,http://www.icheckmovies.com/movies/idi+i+smotri/,6092,1353,57,25,701,"Come and See",http://www.imdb.com/title/tt0091251/,"2010-01-30 15:23:27",no,no,no,no
2,0,"The Thin Red Line",1998,http://www.icheckmovies.com/movies/the+thin+red+line/,22076,1573,216,13,672,,http://www.imdb.com/title/tt0120863/,"2010-01-30 15:23:28",no,no,no,no
3,0,"Das Boot",1981,http://www.icheckmovies.com/movies/das+boot/,21874,1868,89,15,715,,http://www.imdb.com/title/tt0082096/,"2010-01-30 15:23:27",no,no,no,no
4,0,"The Big Red One",1980,http://www.icheckmovies.com/movies/the+big+red+one/,3146,147,31,10,257,,http://www.imdb.com/title/tt0080437/,"2012-08-02 13:30:30",no,no,no,no
5,0,"Went the Day Well?",1942,http://www.icheckmovies.com/movies/went+the+day+wellquestion/,598,39,5,5,145,,http://www.imdb.com/title/tt0035429/,no,no,no,no,no
6,0,Kanal,1957,http://www.icheckmovies.com/movies/kanal/,1280,166,10,10,274,,http://www.imdb.com/title/tt0050585/,no,no,no,no,no
7,0,"Popiól i diament",1958,http://www.icheckmovies.com/movies/popiol+i+diament/,2586,232,19,16,409,"Ashes and Diamonds",http://www.imdb.com/title/tt0052080/,"2014-09-26 13:47:53",no,no,no,no
8,0,"Cross of Iron",1977,http://www.icheckmovies.com/movies/cross+of+iron/,1630,110,18,3,154,,http://www.imdb.com/title/tt0074695/,no,no,no,no,no
9,0,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,5867,534,38,23,602,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2011-01-20 01:46:36",no,no,no,no
10,0,"A Matter of Life and Death",1946,http://www.icheckmovies.com/movies/a+matter+of+life+and+death/,4592,558,35,22,522,,http://www.imdb.com/title/tt0038733/,"2011-10-27 03:48:51",no,no,no,no
11,0,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,24507,3185,151,18,790,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2010-01-30 15:23:27",no,no,no,no
12,0,"Hell in the Pacific",1968,http://www.icheckmovies.com/movies/hell+in+the+pacific/,725,44,5,2,79,,http://www.imdb.com/title/tt0063056/,"2011-03-16 00:16:55",no,no,no,no
13,0,"The Dirty Dozen",1967,http://www.icheckmovies.com/movies/the+dirty+dozen/,7855,467,36,8,306,,http://www.imdb.com/title/tt0061578/,"2011-01-02 01:46:48",no,no,no,no
14,0,"To Be or Not to Be",1942,http://www.icheckmovies.com/movies/to+be+or+not+to+be/,6006,871,20,23,635,,http://www.imdb.com/title/tt0035446/,"2015-05-14 03:02:06",no,no,no,no
15,0,"Hangmen Also Die!",1943,http://www.icheckmovies.com/movies/hangmen+also+dieexclamation/,645,33,2,2,150,,http://www.imdb.com/title/tt0035966/,"2013-10-05 22:56:09",no,no,no,no
16,0,Shoah,1985,http://www.icheckmovies.com/movies/shoah/,2032,258,16,17,449,,http://www.imdb.com/title/tt0090015/,no,no,no,no,no
17,0,"Listen to Britain",1942,http://www.icheckmovies.com/movies/listen+to+britain/,1365,33,26,8,139,,http://www.imdb.com/title/tt0034978/,"2012-09-16 18:20:32",no,no,no,no
18,0,"Fires Were Started",1943,http://www.icheckmovies.com/movies/fires+were+started/,751,20,9,8,122,,http://www.imdb.com/title/tt0035881/,no,no,no,no,no
19,0,Attack,1956,http://www.icheckmovies.com/movies/attack/,536,37,5,2,123,,http://www.imdb.com/title/tt0048966/,no,no,no,no,no
20,0,"L'armée des ombres",1969,http://www.icheckmovies.com/movies/larmee+des+ombres/,3880,580,21,17,458,"Army of Shadows",http://www.imdb.com/title/tt0064040/,"2010-12-22 17:01:18",no,no,no,no
21,0,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,25851,1817,77,29,836,,http://www.imdb.com/title/tt0050212/,"2010-01-30 15:23:28",no,no,no,no
22,0,"Saving Private Ryan",1998,http://www.icheckmovies.com/movies/saving+private+ryan/,98429,6650,425,27,1079,,http://www.imdb.com/title/tt0120815/,"2010-01-30 15:23:27",no,no,no,no
23,0,"Paratroop Command",1959,http://www.icheckmovies.com/movies/paratroop+command/,11,0,1,0,5,,http://www.imdb.com/title/tt0053156/,no,no,no,no,no
24,0,"Battle of Britain",1969,http://www.icheckmovies.com/movies/battle+of+britain/,828,28,15,1,61,,http://www.imdb.com/title/tt0064072/,"2011-12-31 18:15:32",no,no,no,no
25,0,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,87760,8010,270,32,1318,,http://www.imdb.com/title/tt0108052/,"2010-01-30 15:23:27",no,no,no,no
26,0,"Kelly's Heroes",1970,http://www.icheckmovies.com/movies/kellys+heroes/,2163,160,14,0,128,,http://www.imdb.com/title/tt0065938/,"2011-12-31 18:15:33",no,no,no,no
