rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"La grande illusion",1937,http://www.icheckmovies.com/movies/la+grande+illusion/,7731,862,36,28,744,"The Grand Illusion",http://www.imdb.com/title/tt0028950/,"2011-02-27 14:05:49",no,no,no,no
2,0,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,28747,4002,120,35,1304,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2010-01-30 15:23:27",no,no,no,no
3,0,"The Lady Vanishes",1938,http://www.icheckmovies.com/movies/the+lady+vanishes/,9154,778,37,12,450,,http://www.imdb.com/title/tt0030341/,"2010-01-30 15:23:28",no,no,no,no
4,0,Amarcord,1973,http://www.icheckmovies.com/movies/amarcord/,6829,697,69,15,462,,http://www.imdb.com/title/tt0071129/,no,no,no,no,no
5,0,"Les quatre cents coups",1959,http://www.icheckmovies.com/movies/les+quatre+cents+coups/,16242,2100,86,26,1004,"The 400 Blows",http://www.imdb.com/title/tt0053198/,"2010-01-30 15:23:27",no,no,no,no
6,0,"La belle et la bête",1946,http://www.icheckmovies.com/movies/la+belle+et+la+bete/,8642,715,47,24,625,"Beauty and the Beast",http://www.imdb.com/title/tt0038348/,"2010-01-30 15:23:27",no,no,no,no
7,0,"A Night to Remember",1958,http://www.icheckmovies.com/movies/a+night+to+remember/,2379,133,8,3,144,,http://www.imdb.com/title/tt0051994/,"2018-12-27 21:02:53",no,no,no,no
8,0,"Dip huet seung hung",1989,http://www.icheckmovies.com/movies/dip+huet+seung+hung/,5249,442,59,15,407,"The Killer",http://www.imdb.com/title/tt0097202/,"2010-01-30 15:23:27",no,no,no,no
9,0,"Lat sau san taam",1992,http://www.icheckmovies.com/movies/lat+sau+san+taam/,5152,506,42,12,357,"Hard Boiled",http://www.imdb.com/title/tt0104684/,"2011-11-09 02:44:27",no,no,no,no
10,0,Walkabout,1971,http://www.icheckmovies.com/movies/walkabout/,4965,478,39,12,442,,http://www.imdb.com/title/tt0067959/,"2012-05-17 00:29:02",no,no,no,no
11,0,"Det sjunde inseglet",1957,http://www.icheckmovies.com/movies/det+sjunde+inseglet/,19146,2394,156,26,949,"The Seventh Seal",http://www.imdb.com/title/tt0050976/,"2010-01-30 15:23:27",no,no,no,no
12,0,"This Is Spinal Tap",1984,http://www.icheckmovies.com/movies/this+is+spinal+tap/,31100,2453,164,19,640,,http://www.imdb.com/title/tt0088258/,"2010-01-30 15:23:28",no,no,no,no
13,0,"The Silence of the Lambs",1991,http://www.icheckmovies.com/movies/the+silence+of+the+lambs/,105263,9517,260,33,1444,,http://www.imdb.com/title/tt0102926/,"2010-01-30 15:23:28",no,no,no,no
14,0,"Miyamoto Musashi",1954,http://www.icheckmovies.com/movies/miyamoto+musashi/,1471,84,7,5,123,"Samurai I: Musashi Miyamoto",http://www.imdb.com/title/tt0047444/,"2010-01-30 15:23:27",no,no,no,no
15,0,"Zoku Miyamoto Musashi: Ichijôji no kettô",1955,http://www.icheckmovies.com/movies/zoku+miyamoto+musashi+ichijoji+no+ketto/,1067,64,5,3,95,"Samurai II: Duel at Ichijoji Temple",http://www.imdb.com/title/tt0048579/,"2010-01-30 15:23:28",no,no,no,no
16,0,"Miyamoto Musashi kanketsuhen: kettô Ganryûjima",1956,http://www.icheckmovies.com/movies/miyamoto+musashi+kanketsuhen+ketto+ganryujima/,1130,71,4,3,105,"Samurai III: Duel at Ganryu Island",http://www.imdb.com/title/tt0049710/,"2010-01-30 15:23:27",no,no,no,no
17,0,"Salò o le 120 giornate di Sodoma",1975,http://www.icheckmovies.com/movies/salo+o+le+120+giornate+di+sodoma/,6929,409,299,13,427,"Salò, or the 120 Days of Sodom",http://www.imdb.com/title/tt0073650/,"2012-04-21 00:32:40",no,no,no,no
18,0,"The Naked Kiss",1964,http://www.icheckmovies.com/movies/the+naked+kiss/,1814,143,16,5,222,,http://www.imdb.com/title/tt0058390/,"2011-10-08 17:43:15",no,no,no,no
19,0,"Shock Corridor",1963,http://www.icheckmovies.com/movies/shock+corridor/,3195,238,34,15,340,,http://www.imdb.com/title/tt0057495/,"2012-04-08 16:48:42",no,no,no,no
20,0,"Sid and Nancy",1986,http://www.icheckmovies.com/movies/sid+and+nancy/,5196,227,45,3,163,,http://www.imdb.com/title/tt0091954/,"2012-04-21 05:11:56",no,no,no,no
21,0,"Dead Ringers",1988,http://www.icheckmovies.com/movies/dead+ringers/,6902,524,67,12,373,,http://www.imdb.com/title/tt0094964/,"2021-02-18 03:52:38",no,no,no,no
22,0,Summertime,1955,http://www.icheckmovies.com/movies/summertime/,1204,79,12,4,121,,http://www.imdb.com/title/tt0048673/,no,no,no,no,no
23,0,RoboCop,1987,http://www.icheckmovies.com/movies/robocop/,38594,1677,189,14,600,,http://www.imdb.com/title/tt0093870/,"2010-01-30 15:23:27",no,no,no,no
24,0,"Tengoku to jigoku",1963,http://www.icheckmovies.com/movies/tengoku+to+jigoku/,5117,985,19,14,538,"High and Low",http://www.imdb.com/title/tt0057565/,"2010-01-30 15:23:28",no,no,no,no
25,0,"Alphaville, une étrange aventure de Lemmy Caution",1965,http://www.icheckmovies.com/movies/alphaville+une+etrange+aventure+de+lemmy+caution/,5712,401,127,14,408,Alphaville,http://www.imdb.com/title/tt0058898/,"2013-02-16 02:08:38",no,no,no,no
26,0,"The Long Good Friday",1980,http://www.icheckmovies.com/movies/the+long+good+friday/,3117,244,16,11,259,,http://www.imdb.com/title/tt0081070/,"2012-04-22 04:38:34",no,no,no,no
27,0,"Flesh for Frankenstein",1973,http://www.icheckmovies.com/movies/flesh+for+frankenstein/,1114,43,39,2,134,"Andy Warhol's Frankenstein",http://www.imdb.com/title/tt0071508/,no,no,no,no,no
28,0,"Sangue per Dracula",1974,http://www.icheckmovies.com/movies/sangue+per+dracula/,964,38,30,2,127,"Blood for Dracula",http://www.imdb.com/title/tt0071233/,no,no,no,no,no
