rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"The Abyss",1989,http://www.icheckmovies.com/movies/the+abyss/,14360,805,96,3,279,,http://www.imdb.com/title/tt0096754/,"2010-01-30 15:23:28",no,no,no,no
2,,Alien,1979,http://www.icheckmovies.com/movies/alien/,82023,7146,262,28,1507,,http://www.imdb.com/title/tt0078748/,"2010-01-30 15:23:26",no,no,no,no
3,,"*batteries not included",1987,http://www.icheckmovies.com/movies/starbatteries+not+included/,2025,82,20,0,66,,http://www.imdb.com/title/tt0092494/,"2019-12-27 18:48:01",no,no,no,no
4,,Cocoon,1985,http://www.icheckmovies.com/movies/cocoon/,7978,167,69,2,148,,http://www.imdb.com/title/tt0088933/,"2011-08-13 16:41:05",no,no,no,no
5,,"Battle Beyond the Stars",1980,http://www.icheckmovies.com/movies/battle+beyond+the+stars/,701,21,29,2,77,,http://www.imdb.com/title/tt0080421/,"2019-12-31 18:21:56",no,no,no,no
6,,"The Black Hole",1979,http://www.icheckmovies.com/movies/the+black+hole/,1022,30,42,0,111,,http://www.imdb.com/title/tt0078869/,"2019-10-27 19:25:51",no,no,no,no
7,,"Cherry 2000",1987,http://www.icheckmovies.com/movies/cherry+2000/,662,17,31,1,67,,http://www.imdb.com/title/tt0092746/,"2019-06-14 17:13:32",no,no,no,no
8,,"Close Encounters of the Third Kind",1977,http://www.icheckmovies.com/movies/close+encounters+of+the+third+kind/,33630,1707,243,22,729,,http://www.imdb.com/title/tt0075860/,"2010-01-30 15:23:27",no,no,no,no
9,,"E.T. the Extra-Terrestrial",1982,http://www.icheckmovies.com/movies/e.t.+the+extra-terrestrial/,98029,3278,591,28,956,,http://www.imdb.com/title/tt0083866/,"2010-01-30 15:23:27",no,no,no,no
10,,Contact,1997,http://www.icheckmovies.com/movies/contact/,16766,1103,170,2,284,,http://www.imdb.com/title/tt0118884/,"2010-01-30 15:23:27",no,no,no,no
11,,Sphere,1998,http://www.icheckmovies.com/movies/sphere/,5441,122,138,0,87,,http://www.imdb.com/title/tt0120184/,"2012-01-01 18:46:56",no,no,no,no
12,,Critters,1986,http://www.icheckmovies.com/movies/critters/,2030,47,42,1,103,,http://www.imdb.com/title/tt0090887/,no,no,no,no,no
13,,"Dark Star",1974,http://www.icheckmovies.com/movies/dark+star/,3281,187,93,7,212,,http://www.imdb.com/title/tt0069945/,"2014-09-25 00:12:10",no,no,no,no
14,,"The Day the Earth Stood Still",1951,http://www.icheckmovies.com/movies/the+day+the+earth+stood+still/,17096,898,88,13,518,,http://www.imdb.com/title/tt0043456/,"2010-01-30 15:23:28",no,no,no,no
15,,Dune,1984,http://www.icheckmovies.com/movies/dune/,11742,512,315,4,268,,http://www.imdb.com/title/tt0087182/,"2010-01-30 15:23:27",no,no,no,no
16,,"Earth vs. the Flying Saucers",1956,http://www.icheckmovies.com/movies/earth+vs.+the+flying+saucers/,454,14,13,0,63,"Invasion of the Flying Saucers",http://www.imdb.com/title/tt0049169/,no,no,no,no,no
17,,"Enemy Mine",1985,http://www.icheckmovies.com/movies/enemy+mine/,1870,104,28,1,86,,http://www.imdb.com/title/tt0089092/,"2013-02-23 22:56:57",no,no,no,no
18,,"Event Horizon",1997,http://www.icheckmovies.com/movies/event+horizon/,12180,577,251,2,242,,http://www.imdb.com/title/tt0119081/,"2013-12-23 02:06:57",no,no,no,no
19,,Explorers,1985,http://www.icheckmovies.com/movies/explorers/,1993,71,31,1,77,,http://www.imdb.com/title/tt0089114/,"2014-09-23 02:21:51",no,no,no,no
20,,"The Fifth Element",1997,http://www.icheckmovies.com/movies/the+fifth+element-1997/,62532,4792,444,6,508,,http://www.imdb.com/title/tt0119116/,"2010-01-30 15:23:28",no,no,no,no
21,,Sunshine,2007,http://www.icheckmovies.com/movies/sunshine/,20556,1543,240,1,314,,http://www.imdb.com/title/tt0448134/,"2011-04-08 03:45:55",no,no,no,no
22,,"Flash Gordon",1980,http://www.icheckmovies.com/movies/flash+gordon/,6340,240,80,5,201,,http://www.imdb.com/title/tt0080745/,"2013-09-24 03:11:26",no,no,no,no
23,,"Flesh Gordon",1974,http://www.icheckmovies.com/movies/flesh+gordon/,247,7,15,0,44,,http://www.imdb.com/title/tt0068595/,no,no,no,no,no
24,,"Flight of the Navigator",1986,http://www.icheckmovies.com/movies/flight+of+the+navigator/,2658,136,27,0,94,,http://www.imdb.com/title/tt0091059/,"2020-04-15 03:13:54",no,no,no,no
25,,WALL·E,2008,http://www.icheckmovies.com/movies/walle/,118050,9989,587,24,1074,,http://www.imdb.com/title/tt0910970/,"2010-01-30 15:23:28",no,no,no,no
26,,"Forbidden Planet",1956,http://www.icheckmovies.com/movies/forbidden+planet/,7076,459,37,9,426,,http://www.imdb.com/title/tt0049223/,"2014-07-19 17:18:29",no,no,no,no
27,,"The Fountain",2006,http://www.icheckmovies.com/movies/the+fountain/,21993,1987,562,4,361,,http://www.imdb.com/title/tt0414993/,"2010-01-30 15:23:28",no,no,no,no
28,,"Howard the Duck",1986,http://www.icheckmovies.com/movies/howard+the+duck/,3152,63,207,1,127,,http://www.imdb.com/title/tt0091225/,"2012-04-28 03:46:11",no,no,no,no
29,,"Invasion of the Body Snatchers",1956,http://www.icheckmovies.com/movies/invasion+of+the+body+snatchers/,13220,652,43,18,604,,http://www.imdb.com/title/tt0049366/,"2010-08-21 19:18:32",no,no,no,no
30,,"Invasion of the Body Snatchers",1978,http://www.icheckmovies.com/movies/invasion+of+the+body+snatchers-1978/,7541,447,29,3,361,,http://www.imdb.com/title/tt0077745/,"2014-02-15 03:26:37",no,no,no,no
31,,"The Hidden",1987,http://www.icheckmovies.com/movies/the+hidden/,981,55,6,2,123,,http://www.imdb.com/title/tt0093185/,no,no,no,no,no
32,,"The Last Starfighter",1984,http://www.icheckmovies.com/movies/the+last+starfighter/,1610,72,22,0,76,,http://www.imdb.com/title/tt0087597/,"2012-08-03 17:01:24",no,no,no,no
33,,"The Man Who Fell to Earth",1976,http://www.icheckmovies.com/movies/the+man+who+fell+to+earth/,5498,289,96,8,334,,http://www.imdb.com/title/tt0074851/,"2010-02-01 13:27:46",no,no,no,no
34,,"Mars Attacks!",1996,http://www.icheckmovies.com/movies/mars+attacksexclamation/,22477,744,368,1,178,,http://www.imdb.com/title/tt0116996/,"2012-01-01 05:53:45",no,no,no,no
35,,Metropolis,1927,http://www.icheckmovies.com/movies/metropolis/,27423,2777,147,34,1149,,http://www.imdb.com/title/tt0017136/,"2010-01-30 15:23:27",no,no,no,no
36,,"Morons from Outer Space",1985,http://www.icheckmovies.com/movies/morons+from+outer+space/,96,2,8,0,14,,http://www.imdb.com/title/tt0089622/,no,no,no,no,no
37,,"Pitch Black",2000,http://www.icheckmovies.com/movies/pitch+black/,10337,525,111,1,188,,http://www.imdb.com/title/tt0134847/,no,no,no,no,no
