rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Hot Fuzz",2007,http://www.icheckmovies.com/movies/hot+fuzz/,53407,4525,304,5,526,,http://www.imdb.com/title/tt0425112/,"2010-01-30 15:23:27",no,no,no,no
2,,"The Mechanic",1972,http://www.icheckmovies.com/movies/the+mechanic/,654,23,6,0,61,,http://www.imdb.com/title/tt0068931/,no,no,no,no,no
3,,Lawman,1971,http://www.icheckmovies.com/movies/lawman/,158,9,0,0,38,,http://www.imdb.com/title/tt0067333/,no,no,no,no,no
4,,Scorpio,1973,http://www.icheckmovies.com/movies/scorpio/,174,4,5,0,27,,http://www.imdb.com/title/tt0070653/,no,no,no,no,no
5,,Firepower,1979,http://www.icheckmovies.com/movies/firepower/,36,1,0,0,17,,http://www.imdb.com/title/tt0079153/,no,no,no,no,no
6,,"The Nightcomers",1971,http://www.icheckmovies.com/movies/the+nightcomers/,130,0,6,0,42,,http://www.imdb.com/title/tt0069007/,no,no,no,no,no
7,,"Won Ton Ton: The Dog Who Saved Hollywood",1976,http://www.icheckmovies.com/movies/won+ton+ton+the+dog+who+saved+hollywood/,20,1,1,0,17,,http://www.imdb.com/title/tt0075436/,no,no,no,no,no
8,,"The Living Daylights",1987,http://www.icheckmovies.com/movies/the+living+daylights/,8218,175,58,1,121,,http://www.imdb.com/title/tt0093428/,"2011-12-31 17:59:56",no,no,no,no
9,,"Licence to Kill",1989,http://www.icheckmovies.com/movies/licence+to+kill/,10113,169,72,1,118,,http://www.imdb.com/title/tt0097742/,"2011-12-31 17:59:57",no,no,no,no
10,,"Death Wish 3",1985,http://www.icheckmovies.com/movies/death+wish+3/,1467,46,37,2,81,,http://www.imdb.com/title/tt0089003/,no,no,no,no,no
11,,"Full Metal Jacket",1987,http://www.icheckmovies.com/movies/full+metal+jacket/,67752,5989,199,17,989,,http://www.imdb.com/title/tt0093058/,"2010-01-30 15:23:27",no,no,no,no
12,,"Beyond Therapy",1987,http://www.icheckmovies.com/movies/beyond+therapy/,88,1,5,0,20,,http://www.imdb.com/title/tt0092646/,no,no,no,no,no
13,,"The Laughing Policeman",1973,http://www.icheckmovies.com/movies/the+laughing+policeman/,140,5,4,0,33,"An Investigation of Murder",http://www.imdb.com/title/tt0070292/,no,no,no,no,no
14,,"Uomini si nasce poliziotti si muore",1976,http://www.icheckmovies.com/movies/uomini+si+nasce+poliziotti+si+muore/,199,8,3,1,42,"Live Like a Cop, Die Like a Man",http://www.imdb.com/title/tt0075375/,no,no,no,no,no
15,,"The Rookie",1990,http://www.icheckmovies.com/movies/the+rookie/,1516,20,37,1,50,,http://www.imdb.com/title/tt0100514/,"2011-12-31 18:01:24",no,no,no,no
16,,Hostel,2005,http://www.icheckmovies.com/movies/hostel/,10758,187,424,2,199,,http://www.imdb.com/title/tt0450278/,no,no,no,no,no
17,,"That's My Boy",1951,http://www.icheckmovies.com/movies/thats+my+boy/,59,2,1,0,12,,http://www.imdb.com/title/tt0044119/,no,no,no,no,no
18,,"48 Hrs.",1982,http://www.icheckmovies.com/movies/48+hrs./,4149,111,31,3,119,,http://www.imdb.com/title/tt0083511/,"2019-02-18 04:29:18",no,no,no,no
19,,"Dirty Harry",1971,http://www.icheckmovies.com/movies/dirty+harry/,22398,1067,73,16,521,,http://www.imdb.com/title/tt0066999/,"2010-01-30 15:23:27",no,no,no,no
20,,"Shaun of the Dead",2004,http://www.icheckmovies.com/movies/shaun+of+the+dead/,75419,6798,396,12,827,,http://www.imdb.com/title/tt0365748/,"2010-01-30 15:23:27",no,no,no,no
21,,"The Matrix",1999,http://www.icheckmovies.com/movies/the+matrix/,133443,12807,742,28,1421,,http://www.imdb.com/title/tt0133093/,"2010-01-30 15:23:28",no,no,no,no
22,,"The Matrix Reloaded",2003,http://www.icheckmovies.com/movies/the+matrix+reloaded/,67440,1573,943,5,410,,http://www.imdb.com/title/tt0234215/,"2010-01-30 15:23:28",no,no,no,no
23,,"The Matrix Revolutions",2003,http://www.icheckmovies.com/movies/the+matrix+revolutions/,59367,1151,1193,4,352,,http://www.imdb.com/title/tt0242653/,"2010-01-30 15:34:36",no,no,no,no
24,,Superman,1978,http://www.icheckmovies.com/movies/superman/,32971,766,149,11,453,,http://www.imdb.com/title/tt0078346/,"2010-01-30 15:23:28",no,no,no,no
25,,Naked,1993,http://www.icheckmovies.com/movies/naked/,4910,854,66,8,439,,http://www.imdb.com/title/tt0107653/,no,no,no,no,no
26,,"Vera Drake",2004,http://www.icheckmovies.com/movies/vera+drake/,3511,222,18,6,217,,http://www.imdb.com/title/tt0383694/,no,no,no,no,no
27,,"The Bitch",1979,http://www.icheckmovies.com/movies/the+bitch/,44,0,2,0,11,,http://www.imdb.com/title/tt0078867/,no,no,no,no,no
28,,"The Stud",1978,http://www.icheckmovies.com/movies/the+stud/,44,0,5,0,10,,http://www.imdb.com/title/tt0078333/,no,no,no,no,no
29,,"The Wicker Man",1973,http://www.icheckmovies.com/movies/the+wicker+man/,13878,1051,146,12,591,,http://www.imdb.com/title/tt0070917/,"2014-01-12 23:34:44",no,no,no,no
30,,Deliverance,1972,http://www.icheckmovies.com/movies/deliverance/,15667,832,89,14,568,,http://www.imdb.com/title/tt0068473/,"2010-01-30 15:23:27",no,no,no,no
31,,"The Texas Chain Saw Massacre",1974,http://www.icheckmovies.com/movies/the+texas+chain+saw+massacre/,24797,1271,189,14,700,,http://www.imdb.com/title/tt0072271/,no,no,no,no,no
32,,Callan,1974,http://www.icheckmovies.com/movies/callan/,27,5,0,0,13,"The Neutralizer",http://www.imdb.com/title/tt0071270/,no,no,no,no,no
33,,"Reservoir Dogs",1992,http://www.icheckmovies.com/movies/reservoir+dogs/,88614,9700,353,25,1230,,http://www.imdb.com/title/tt0105236/,"2010-01-30 15:23:27",no,no,no,no
34,,"Enchanted April",1991,http://www.icheckmovies.com/movies/enchanted+april/,278,24,2,0,49,,http://www.imdb.com/title/tt0101811/,no,no,no,no,no
35,,"Sitting Target",1972,http://www.icheckmovies.com/movies/sitting+target/,69,2,2,0,21,,http://www.imdb.com/title/tt0069273/,no,no,no,no,no
36,,"'Breaker' Morant",1980,http://www.icheckmovies.com/movies/breaker+morant/,1526,107,7,5,186,"Breaker Morant",http://www.imdb.com/title/tt0080310/,no,no,no,no,no
37,,"To Live and Die in L.A.",1985,http://www.icheckmovies.com/movies/to+live+and+die+in+l.a./,1894,165,12,2,193,,http://www.imdb.com/title/tt0090180/,"2014-01-05 01:29:49",no,no,no,no
38,,Manhunter,1986,http://www.icheckmovies.com/movies/manhunter/,7122,382,51,6,320,,http://www.imdb.com/title/tt0091474/,no,no,no,no,no
39,,"Young Guns II",1990,http://www.icheckmovies.com/movies/young+guns+ii/,1404,49,19,0,54,,http://www.imdb.com/title/tt0100994/,no,no,no,no,no
40,,"Twisted Nerve",1968,http://www.icheckmovies.com/movies/twisted+nerve/,178,16,1,1,62,,http://www.imdb.com/title/tt0063729/,no,no,no,no,no
41,,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,30365,2844,206,38,1160,,http://www.imdb.com/title/tt0056172/,"2010-01-30 15:23:27",no,no,no,no
42,,Brannigan,1975,http://www.icheckmovies.com/movies/brannigan/,197,6,5,0,25,,http://www.imdb.com/title/tt0072732/,no,no,no,no,no
43,,Grindhouse,2007,http://www.icheckmovies.com/movies/grindhouse/,24987,1172,188,1,215,,http://www.imdb.com/title/tt0462322/,"2010-01-30 15:23:27",no,no,no,no
44,,"Death Proof",2007,http://www.icheckmovies.com/movies/death+proof/,23329,1361,359,3,283,,http://www.imdb.com/title/tt1028528/,"2010-01-30 15:23:27",no,no,no,no
45,,"Planet Terror",2007,http://www.icheckmovies.com/movies/planet+terror/,18870,975,223,1,236,,http://www.imdb.com/title/tt1077258/,"2010-01-30 15:23:27",no,no,no,no
46,,Coffy,1973,http://www.icheckmovies.com/movies/coffy/,1682,96,11,2,147,,http://www.imdb.com/title/tt0069897/,"2016-04-03 17:43:29",no,no,no,no
47,,"The Man Who Haunted Himself",1970,http://www.icheckmovies.com/movies/the+man+who+haunted+himself/,103,4,0,0,36,,http://www.imdb.com/title/tt0066053/,no,no,no,no,no
48,,Khartoum,1966,http://www.icheckmovies.com/movies/khartoum/,233,7,4,0,40,,http://www.imdb.com/title/tt0060588/,"2020-05-19 20:51:39",no,no,no,no
49,,"Dead of Night",1945,http://www.icheckmovies.com/movies/dead+of+night/,2403,190,23,8,319,,http://www.imdb.com/title/tt0037635/,no,no,no,no,no
50,,Magic,1978,http://www.icheckmovies.com/movies/magic/,1028,45,6,1,103,,http://www.imdb.com/title/tt0077889/,no,no,no,no,no
51,,"Death Wish 4: The Crackdown",1987,http://www.icheckmovies.com/movies/death+wish+4+the+crackdown/,486,7,19,0,41,,http://www.imdb.com/title/tt0092857/,no,no,no,no,no
52,,"The Passage",1979,http://www.icheckmovies.com/movies/the+passage/,46,1,0,0,18,,http://www.imdb.com/title/tt0079700/,no,no,no,no,no
53,,"Fragment of Fear",1970,http://www.icheckmovies.com/movies/fragment+of+fear/,100,3,0,1,34,Freelance,http://www.imdb.com/title/tt0065737/,no,no,no,no,no
